cluster,file,suggested_tier,violation_type,status,batch,notes
01_shared,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/layout/vit_two_column_tablet_dashboard.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/layout/vit_web_utility_page.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_announcement_banner.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_balance_breakdown_row.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_community_rules_link.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_compact_product_card.dart,D,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_counted_section_header.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_discovery_action_card.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_faq_accordion.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_financial_safety_summary.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_icon_label_card.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_info_callout.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_market_ticker.dart,A,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_metric_box.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_module_components.dart,E,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_next_action_card.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_skeleton.dart,E,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_stats_grid.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_task_card.dart,C,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_trade_instrument_hero.dart,E,-,done,0,-
01_shared,flutter_app/lib/shared/widgets/vit_trade_order_list.dart,E,-,done,0,-
02_home,flutter_app/lib/features/home/presentation/phone/pages/home_page_sections.dart,E,-,done,0,-
02_home,flutter_app/lib/features/home/presentation/web/pages/home_web_page.dart,C,-,done,0,-
02_home,flutter_app/lib/features/home/presentation/widgets/phone/home_portfolio_card.dart,E,-,done,0,-
02_home,flutter_app/lib/features/home/presentation/widgets/phone/home_status_content.dart,D,-,done,0,-
02_home,flutter_app/lib/features/home/presentation/widgets/tablet/home_discovery_panel.dart,E,-,done,0,-
02_home,flutter_app/lib/features/home/presentation/widgets/tablet/home_market_watchlist_panel.dart,E,-,done,0,-
02_home,flutter_app/lib/features/home/presentation/widgets/tablet/home_portfolio_card.dart,E,-,done,0,-
02_home,flutter_app/lib/features/home/presentation/widgets/tablet/home_recent_products_section.dart,E,-,done,0,-
02_home,flutter_app/lib/features/home/presentation/widgets/tablet/home_status_content.dart,C,-,done,0,-
02_home,flutter_app/lib/features/home/presentation/widgets/tablet/home_tablet_kpi_strip.dart,E,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/phone/pages/bridge/arena_prediction_bridge_foundation_page_examples_and_shared_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/phone/pages/bridge/arena_prediction_bridge_foundation_page_principles_section.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/phone/pages/bridge/arena_prediction_bridge_foundation_page_topics_boundary_bridge_sections.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/phone/pages/bridge/connected_ecosystem_production_page_canonical_states_section.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/phone/pages/bridge/connected_ecosystem_production_page_flows_registry_handoff.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/phone/pages/bridge/connected_ecosystem_production_page_handoff_and_shared_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/phone/pages/challenge/arena_challenge_detail_page_actions_and_shared_widgets.dart,C,-,done,0,-
03_tab_roots,flutter_app/lib/features/arena/presentation/phone/pages/challenge/arena_challenge_detail_page_overview_section.dart,C,-,done,0,-
