name,file_count,files
"_ActionButton",9,"lib/features/dca/presentation/widgets/hub/dca_overview_demo_actions.dart; lib/features/earn_staking/presentation/widgets/staking/staking_audit_reports_bounty_common.dart; lib/features/p2p_marketplace/presentation/widgets/hub/p2p_home_offer_list.dart; lib/features/p2p_security/presentation/widgets/security/p2p_device_management_cards.dart; lib/features/trade_compliance/presentation/pages/disclosures/kid_generator_page.dart; lib/features/trade_compliance/presentation/widgets/execution/best_execution_archive_common.dart; lib/features/trade_copy/presentation/widgets/hub/active_copies_expanded_details.dart; lib/features/trade_terminal/presentation/widgets/tools/advanced_trading_demo_page_sections.dart; lib/features/wallet/presentation/widgets/assets/wallet_buy_crypto_result_sections.dart"
"_ActionRow",6,"lib/features/dca/presentation/widgets/hub/dca_overview_demo_actions.dart; lib/features/p2p_dispute/presentation/pages/dispute/p2p_claim_detail_page_common.dart; lib/features/p2p_dispute/presentation/widgets/dispute/p2p_insurance_certificate_page_sections.dart; lib/features/p2p_marketplace/presentation/pages/hub/p2p_express_confirm_page.dart; lib/features/p2p_orders/presentation/pages/orders/p2p_order_cancel_page.dart; lib/features/p2p_orders/presentation/widgets/orders/p2p_order_rate_widgets.dart"
"_ActionTile",3,"lib/features/p2p_dispute/presentation/widgets/dispute/p2p_dispute_actions_card.dart; lib/features/trade_compliance/presentation/widgets/disclosures/regulatory_disclosures_actions.dart; lib/features/wallet/presentation/widgets/assets/asset_detail_page_sections.dart"
"_ActiveSection",3,"lib/features/arena/presentation/pages/bridge/arena_prediction_bridge_foundation_page_principles_section.dart; lib/features/arena/presentation/pages/bridge/connected_ecosystem_production_page_canonical_states_section.dart; lib/features/arena/presentation/pages/hub/arena_production_ready_page_screens_states_section.dart"
"_ActivityRow",3,"lib/features/p2p_marketplace/presentation/widgets/hub/p2p_dashboard_row_widgets.dart; lib/features/predictions/presentation/widgets/social/predictions_global_activity_feed_widgets.dart; lib/features/wallet/presentation/widgets/tools/wallet_manager_activity_tab.dart"
"_AlertCard",4,"lib/features/earn_savings/presentation/widgets/savings/savings_notification_preferences_events.dart; lib/features/launchpad/presentation/widgets/tools/launchpad_gas_tracker_alerts.dart; lib/features/markets/presentation/widgets/portfolio/price_alerts_page_details.dart; lib/features/p2p_security/presentation/pages/security/p2p_suspicious_activity_page.dart"
"_AllocationCard",4,"lib/features/earn_savings/presentation/widgets/savings/savings_portfolio_overview.dart; lib/features/earn_staking/presentation/widgets/staking/staking_multi_chain_page_sections.dart; lib/features/markets/presentation/pages/portfolio/portfolio_tracker_page_overview_widgets.dart; lib/features/trade_bots/presentation/widgets/dashboard/bot_portfolio_dashboard_page_sections.dart"
"_AllocationRow",4,"lib/features/cross_module/presentation/widgets/unified_portfolio_analysis.dart; lib/features/dca/presentation/widgets/portfolio/dca_portfolio_optimizer_comparison_hero.dart; lib/features/earn_savings/presentation/widgets/savings/savings_backtest_results.dart; lib/features/wallet/presentation/widgets/tools/wallet_health_score_cards.dart"
"_AmountCard",3,"lib/features/p2p_marketplace/presentation/widgets/ads/p2p_ad_detail_amount_terms.dart; lib/features/p2p_marketplace/presentation/widgets/hub/p2p_express_form_cards.dart; lib/features/wallet/presentation/widgets/assets/wallet_buy_crypto_input_sections.dart"
"_AmountInput",3,"lib/features/earn_staking/presentation/widgets/staking/staking_liquid_staking_swap_fields.dart; lib/features/earn_staking/presentation/widgets/staking/staking_risk_score_inputs.dart; lib/features/p2p_orders/presentation/widgets/wallet/p2p_wallet_transfer_amount.dart"
