file,line,owner,sourceWidget,classification,mode,fallback,highRisk,issue,notes
"flutter_app/lib/app/router/internal_surface_gate.dart","92","_InternalSurfaceRestrictedPage","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.home","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/admin/presentation/pages/ab_test_dashboard_page.dart","58","_ABTestDashboardPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.admin","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart","44","AdminSettingsPage","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.admin","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/admin/presentation/pages/analytics_dashboard_page.dart","66","_AnalyticsDashboardPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.admin","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/admin/presentation/pages/funnel_dashboard_page.dart","59","_FunnelDashboardPageState","VitHeader","parent_route_only","parent_route_only","AppRoutePaths.admin","no","-","Back goes to an explicit parent route."
"flutter_app/lib/features/arena/presentation/pages/bridge/arena_prediction_bridge_foundation_page_principles_section.dart","28","_ArenaPredictionBridgeFoundationPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/bridge/connected_ecosystem_production_page.dart","86","_ConnectedEcosystemProductionPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","History pop is paired with an explicit fallback route."
"flutter_app/lib/features/arena/presentation/pages/challenge/arena_challenge_detail_page.dart","108","_ArenaChallengeDetailPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","Uses shared back-navigation helper."
"flutter_app/lib/features/arena/presentation/pages/challenge/arena_join_page.dart","85","_ArenaJoinPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arenaChallenge(widget.challengeId","no","-","Uses shared back-navigation helper."
"flutter_app/lib/features/arena/presentation/pages/challenge/arena_leaderboard_page.dart","106","_ArenaLeaderboardPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","Uses shared back-navigation helper."
"flutter_app/lib/features/arena/presentation/pages/challenge/arena_mode_detail_page.dart","83","_ArenaModeDetailPageState","VitHeader","history_then_fallback","history_then_fallback","AppRoutePaths.arena","no","-","Uses shared back-navigation helper."
