module,scope,path,container,boxDecoration,borderRadiusCircular,radiusCircular,edgeInsets,fixedWidth,fixedHeight,totalDivergence,exception,exceptionReason
admin,root_page,flutter_app/lib/features/admin/presentation/pages/ab_test_dashboard_page.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/pages/admin_home_page.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/pages/analytics_dashboard_page.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/pages/funnel_dashboard_page.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/ab_test_dashboard_common.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/ab_test_dashboard_sections.dart,0,0,0,0,0,0,0,0,no,-
admin,feature_widget,flutter_app/lib/features/admin/presentation/widgets/admin_dashboard_state_content.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/admin_home_dashboards_footer.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/admin_home_metrics_realtime.dart,0,0,0,0,0,0,0,0,no,-
admin,feature_widget,flutter_app/lib/features/admin/presentation/widgets/admin_metric_card.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/analytics_dashboard_common.dart,0,0,0,0,0,0,0,0,yes,allowed_source_keyword: custompainter
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/analytics_dashboard_sections.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_common_painter.dart,0,0,0,0,0,0,0,0,yes,allowed_source_keyword: custompainter
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_selector_metrics.dart,0,0,0,0,0,0,0,0,no,-
admin,root_page,flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_waterfall_details.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/bridge/arena_prediction_bridge_foundation_page.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/bridge/arena_prediction_bridge_foundation_page_examples_and_shared_widgets.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/bridge/arena_prediction_bridge_foundation_page_principles_section.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/bridge/arena_prediction_bridge_foundation_page_topics_boundary_bridge_sections.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/bridge/connected_ecosystem_production_page.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/bridge/connected_ecosystem_production_page_canonical_states_section.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/bridge/connected_ecosystem_production_page_flows_registry_handoff.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/bridge/connected_ecosystem_production_page_handoff_and_shared_widgets.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/challenge/arena_challenge_detail_page.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/challenge/arena_challenge_detail_page_actions_and_shared_widgets.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/challenge/arena_challenge_detail_page_overview_section.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/challenge/arena_challenge_detail_page_tabs_and_panels.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/challenge/arena_join_page.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/challenge/arena_leaderboard_page.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/challenge/arena_mode_detail_page.dart,0,0,0,0,0,0,0,0,no,-
arena,root_page,flutter_app/lib/features/arena/presentation/pages/challenge/verified_challenges_page.dart,0,0,0,0,0,0,0,0,no,-
