path,line,rule,source
# Generated by tool/motion_audit.dart — phone-surface motion debt (ratchet). Tablet surface is absolute-zero and never listed here.
app/shell/phone/phone_app_shell.dart,130,M2-literal-curve,"const curve = Curves.easeOutCubic;"
features/arena/presentation/phone/pages/governance/arena_guide_page_faq_shared_widgets.dart,271,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/arena/presentation/phone/pages/governance/arena_guide_page_faq_shared_widgets.dart,304,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/arena/presentation/phone/pages/hub/arena_home_page_hero_and_templates.dart,240,M1-literal-duration,"duration: const Duration(milliseconds: 250),"
features/arena/presentation/phone/pages/hub/arena_home_page_hero_and_templates.dart,241,M2-literal-curve,"curve: Curves.easeOut,"
features/arena/presentation/widgets/phone/arena_flow_map_overview.dart,155,M1-literal-duration,"duration: const Duration(milliseconds: 160),"
features/cross_module/presentation/phone/pages/tax_report_center_settings_tab.dart,268,M1-literal-duration,"duration: const Duration(milliseconds: 160),"
features/cross_module/presentation/widgets/smart_alert_center_history_settings.dart,258,M1-literal-duration,"duration: const Duration(milliseconds: 160),"
features/dca/presentation/phone/pages/hub/dca_page_state_overview.dart,136,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/dca/presentation/phone/pages/portfolio/dca_multi_asset_page_assets_and_performance.dart,95,M1-literal-duration,"duration: const Duration(milliseconds: 160),"
features/dca/presentation/phone/pages/portfolio/dca_rebalance_config_page_settings_and_preview.dart,203,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/dca/presentation/phone/pages/portfolio/dca_rebalance_config_page_settings_and_preview.dart,264,M1-literal-duration,"duration: const Duration(milliseconds: 160),"
features/earn_savings/presentation/widgets/savings/savings_faq_page_sections.dart,172,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/earn_savings/presentation/widgets/savings/savings_faq_page_sections.dart,231,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/earn_savings/presentation/widgets/savings/savings_notification_preferences_common.dart,82,M1-literal-duration,"duration: const Duration(milliseconds: 150),"
features/earn_savings/presentation/widgets/savings/savings_notification_preferences_common.dart,85,M1-literal-duration,"duration: const Duration(milliseconds: 160),"
features/earn_staking/presentation/phone/pages/staking/staking_faq_page.dart,288,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/earn_staking/presentation/phone/pages/staking/staking_faq_page.dart,317,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/earn_staking/presentation/phone/pages/staking/staking_terms_page.dart,386,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/earn_staking/presentation/phone/pages/staking/staking_terms_page.dart,402,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/earn_staking/presentation/phone/pages/staking/staking_terms_page.dart,403,M2-literal-curve,"sizeCurve: Curves.easeOut,"
features/earn_staking/presentation/widgets/staking/staking_api_documentation_overview.dart,155,M1-literal-duration,"duration: const Duration(milliseconds: 160),"
features/earn_staking/presentation/widgets/staking/staking_auto_compound_positions.dart,108,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/earn_staking/presentation/widgets/staking/staking_insurance_fund_overview.dart,99,M1-literal-duration,"duration: const Duration(milliseconds: 160),"
features/earn_staking/presentation/widgets/staking/staking_notifications_page_common.dart,45,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/earn_staking/presentation/widgets/staking/staking_risk_disclosure_categories.dart,114,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/earn_staking/presentation/widgets/staking/staking_risk_disclosure_categories.dart,129,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/earn_staking/presentation/widgets/staking/staking_risk_disclosure_categories.dart,130,M2-literal-curve,"sizeCurve: Curves.easeOut,"
features/earn_staking/presentation/widgets/staking/staking_slashing_history_overview.dart,201,M1-literal-duration,"duration: const Duration(milliseconds: 160),"
features/earn_staking/presentation/widgets/staking/staking_transaction_reporting_summary_widgets.dart,153,M1-literal-duration,"duration: const Duration(milliseconds: 160),"
features/launchpad/presentation/widgets/tools/launchpad_notif_sound_footer.dart,109,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/p2p_account/presentation/phone/pages/merchant/p2p_merchant_apply_page_state.dart,91,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/p2p_account/presentation/phone/pages/merchant/p2p_merchant_profile_page.dart,129,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/p2p_marketplace/presentation/widgets/ads/p2p_order_book_selector_ticker.dart,114,M1-literal-duration,"duration: const Duration(milliseconds: 600),"
features/p2p_orders/presentation/widgets/wallet/p2p_wallet_balances.dart,107,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/p2p_security/presentation/phone/pages/security/p2p_report_merchant_page.dart,199,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/p2p_security/presentation/widgets/security/p2p_fraud_score_patterns.dart,224,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/p2p_security/presentation/widgets/security/p2p_login_history_events.dart,178,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/profile/presentation/widgets/kyc_status_levels.dart,143,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
features/profile/presentation/widgets/profile_vip_hero.dart,66,M1-literal-duration,"duration: const Duration(milliseconds: 180),"
