feature,file,suggested_tier,declared_tier,wiring_count,wiring_violations,structural_count,structural_violations,inner_gap_count,inner_gap_violations,status
admin,flutter_app/lib/features/admin/presentation/pages/ab_test_dashboard_page.dart,standard,standard,0,,0,,1,0,pass
admin,flutter_app/lib/features/admin/presentation/pages/admin_home_page.dart,standard,standard,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart,standard,standard,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/pages/analytics_dashboard_page.dart,standard,standard,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/pages/funnel_dashboard_page.dart,standard,standard,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/ab_test_dashboard_common.dart,standard,,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/ab_test_dashboard_sections.dart,standard,,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/admin_dashboard_state_content.dart,standard,,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/admin_home_dashboards_footer.dart,standard,,0,,0,,1,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/admin_home_metrics_realtime.dart,standard,,0,,0,,1,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/admin_metric_card.dart,standard,,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/analytics_dashboard_common.dart,standard,,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/analytics_dashboard_sections.dart,standard,,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_common_painter.dart,standard,,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_selector_metrics.dart,standard,,0,,0,,0,0,pass
admin,flutter_app/lib/features/admin/presentation/widgets/funnel_dashboard_waterfall_details.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/bridge/arena_prediction_bridge_foundation_page_principles_section.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/bridge/connected_ecosystem_production_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/challenge/arena_challenge_detail_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/challenge/arena_join_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/challenge/arena_leaderboard_page.dart,compact,compact,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/challenge/arena_mode_detail_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/challenge/verified_challenges_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_blocked_users_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_governance_gate_page.dart,standard,form,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_guide_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_report_case_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_resolution_center_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_safety_center_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/governance/arena_trust_breakdown_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/governance/my_arena_reports_page.dart,compact,compact,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_flow_map_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page_hero_and_templates.dart,compact,compact,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/hub/arena_production_ready_page_screens_states_section.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/hub/my_arena_page.dart,compact,compact,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/points/arena_points_entry_detail_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/points/arena_points_ledger_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/studio/arena_creator_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/studio/arena_smart_rule_builder_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/studio/arena_studio_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/pages/studio/arena_universal_preset_library_page.dart,standard,standard,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_join_page_common.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_join_page_sections.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_leaderboard_body.dart,standard,,0,,0,,1,0,pass
arena,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_leaderboard_controls.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_leaderboard_rows_footer.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_mode_detail_actions.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_mode_detail_common.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_mode_detail_hero.dart,standard,,0,,0,,0,0,pass
arena,flutter_app/lib/features/arena/presentation/widgets/challenge/arena_mode_detail_prediction.dart,standard,,0,,0,,0,0,pass
