screen_id,route,page_widget,layout_pattern,vpc_owner_file,rules_1_6_status,l1,l2,l5,l3,exception_reason
AppRouteNames.sc415TargetMarketDefinitionDetail,'${AppRoutePaths.tradeCopyTargetMarketDefinition}/:productId',TargetMarketDefinitionPage,shared_shell,features/trade_compliance/presentation/pages/governance/target_market_definition_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc138DepositUsdt,'${AppRoutePaths.walletDeposit}/:asset',DepositTabletPage,shared_shell,features/wallet/presentation/tablet/pages/deposit_tablet_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc140WithdrawUsdt,'${AppRoutePaths.walletWithdraw}/:asset',WithdrawTabletPage,shared_shell,features/wallet/presentation/tablet/pages/withdraw_tablet_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc190ArenaChallengeDetail,'/arena/challenge/:challengeId',ArenaChallengeDetailPage,direct_vpc,features/arena/presentation/pages/challenge/arena_challenge_detail_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc193ArenaCreator,'/arena/creator/:creatorId',ArenaCreatorPage,direct_vpc,features/arena/presentation/pages/studio/arena_creator_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc191ArenaJoin,'/arena/join/:challengeId',ArenaJoinPage,direct_vpc,features/arena/presentation/pages/challenge/arena_join_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc200ArenaPointsEntryDetail,'/arena/ledger/entry/:entryId',ArenaPointsEntryDetailPage,direct_vpc,features/arena/presentation/pages/points/arena_points_entry_detail_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc189ArenaModeDetail,'/arena/mode/:modeId',ArenaModeDetailPage,direct_vpc,features/arena/presentation/pages/challenge/arena_mode_detail_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc202ArenaReportCase,'/arena/report/:caseId',ArenaReportCasePage,direct_vpc,features/arena/presentation/pages/governance/arena_report_case_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc199ArenaTrustBreakdown,'/arena/trust/:userId',ArenaTrustBreakdownPage,direct_vpc,features/arena/presentation/pages/governance/arena_trust_breakdown_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc408DcaRebalanceEdit,'/dca/rebalance/:configId/edit',DCARebalanceConfigPage,direct_vpc,features/dca/presentation/pages/portfolio/dca_rebalance_config_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc409DcaRebalanceHistory,'/dca/rebalance/:configId/history',DCARebalanceDashboardPage,direct_vpc,features/dca/presentation/pages/portfolio/dca_rebalance_dashboard_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc041PredictionAdvancedChart,'/markets/predictions/advanced-chart/:eventId',PredictionAdvancedChartPage,flush_chart,features/predictions/presentation/pages/event/prediction_advanced_chart_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,exception:flush_chart,exception:flush_chart
AppRouteNames.sc030PredictionEventDetail,'/markets/predictions/event/:eventId',PredictionEventDetailPage,direct_vpc,features/predictions/presentation/pages/event/prediction_event_detail_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc035PredictionOrderReceipt,'/markets/predictions/receipt/:receiptId',PredictionOrderReceiptPage,direct_vpc,features/predictions/presentation/pages/event/prediction_order_receipt_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc414PredictionTournamentDetail,'/markets/predictions/tournament/:tournamentId',PredictionTournamentDetailPage,direct_vpc,features/predictions/presentation/pages/prediction_tournaments_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc223P2PAdAnalytics,'/p2p/ad-analytics/:adId',switch,shared_shell,features/p2p_core/presentation/tablet/pages/p2p_tablet_utility_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc224P2PAdDetail,'/p2p/ad/:adId',switch,shared_shell,features/p2p_core/presentation/tablet/pages/p2p_tablet_utility_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc217P2PChat,'/p2p/chat/:orderId',switch,shared_shell,features/p2p_core/presentation/tablet/pages/p2p_tablet_utility_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc221P2PDispute,'/p2p/dispute/:orderId',switch,shared_shell,features/p2p_core/presentation/tablet/pages/p2p_tablet_utility_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc218P2PDisputeDetail,'/p2p/dispute/detail/:disputeId',switch,shared_shell,features/p2p_core/presentation/tablet/pages/p2p_tablet_utility_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc219P2PDisputeEvidence,'/p2p/dispute/evidence/:disputeId',switch,shared_shell,features/p2p_core/presentation/tablet/pages/p2p_tablet_utility_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc220P2PDisputeResolution,'/p2p/dispute/resolution/:disputeId',switch,shared_shell,features/p2p_core/presentation/tablet/pages/p2p_tablet_utility_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc246P2PEscrowDetail,'/p2p/escrow/:orderId',switch,shared_shell,features/p2p_core/presentation/tablet/pages/p2p_tablet_utility_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc243P2PClaimDetail,'/p2p/insurance/claim/:claimId',switch,shared_shell,features/p2p_core/presentation/tablet/pages/p2p_tablet_utility_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc228P2PMerchantProfile,'/p2p/merchant/:merchantId',switch,shared_shell,features/p2p_core/presentation/tablet/pages/p2p_tablet_utility_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
AppRouteNames.sc216P2POrder,'/p2p/order/:orderId',switch,shared_shell,features/p2p_core/presentation/tablet/pages/p2p_tablet_utility_page.dart,R1:pass|R2:pass|R3:pass|R4:pass|R5:pass|R6:pass,pass,pass,pass,pass,
