screen_id,route_path,route_name,page_widget,page_file,layout_pattern,vpc_files,vpc_owner_file,declared_tier,suggested_tier,tier_status,l1_status,l2_status,l3_status,notes
AppRouteNames.sc415TargetMarketDefinitionDetail,'${AppRoutePaths.tradeCopyTargetMarketDefinition}/:productId',AppRouteNames.sc415TargetMarketDefinitionDetail,TargetMarketDefinitionPage,flutter_app/lib/features/trade_compliance/presentation/pages/governance/target_market_definition_page.dart,shared_shell,features/trade_compliance/presentation/pages/governance/target_market_definition_page.dart;features/trade_core/presentation/widgets/trade_module_layout.dart,features/trade_compliance/presentation/pages/governance/target_market_definition_page.dart,compact,compact,aligned,pass,pass,pass,compliant
AppRouteNames.sc138DepositUsdt,'${AppRoutePaths.walletDeposit}/:asset',AppRouteNames.sc138DepositUsdt,DepositTabletPage,flutter_app/lib/features/wallet/presentation/tablet/pages/deposit_tablet_page.dart,shared_shell,features/wallet/presentation/tablet/pages/deposit_tablet_page.dart;features/wallet/presentation/tablet/widgets/wallet_tablet_detail_surface.dart,features/wallet/presentation/tablet/pages/deposit_tablet_page.dart,form,form,aligned,pass,pass,pass,compliant
AppRouteNames.sc140WithdrawUsdt,'${AppRoutePaths.walletWithdraw}/:asset',AppRouteNames.sc140WithdrawUsdt,WithdrawTabletPage,flutter_app/lib/features/wallet/presentation/tablet/pages/withdraw_tablet_page.dart,shared_shell,features/wallet/presentation/tablet/pages/withdraw_tablet_page.dart;features/wallet/presentation/tablet/widgets/wallet_tablet_detail_surface.dart,features/wallet/presentation/tablet/pages/withdraw_tablet_page.dart,form,form,aligned,pass,pass,pass,compliant
AppRouteNames.sc190ArenaChallengeDetail,'/arena/challenge/:challengeId',AppRouteNames.sc190ArenaChallengeDetail,ArenaChallengeDetailPage,flutter_app/lib/features/arena/presentation/pages/challenge/arena_challenge_detail_page.dart,direct_vpc,features/arena/presentation/pages/challenge/arena_challenge_detail_page.dart,features/arena/presentation/pages/challenge/arena_challenge_detail_page.dart,standard,standard,aligned,pass,pass,pass,compliant
AppRouteNames.sc193ArenaCreator,'/arena/creator/:creatorId',AppRouteNames.sc193ArenaCreator,ArenaCreatorPage,flutter_app/lib/features/arena/presentation/pages/studio/arena_creator_page.dart,direct_vpc,features/arena/presentation/pages/studio/arena_creator_page.dart;features/arena/presentation/widgets/studio/arena_creator_common.dart;features/arena/presentation/widgets/studio/arena_creator_hero_trust.dart;features/arena/presentation/widgets/studio/arena_creator_tabs.dart,features/arena/presentation/pages/studio/arena_creator_page.dart,standard,standard,aligned,pass,pass,pass,compliant
AppRouteNames.sc191ArenaJoin,'/arena/join/:challengeId',AppRouteNames.sc191ArenaJoin,ArenaJoinPage,flutter_app/lib/features/arena/presentation/pages/challenge/arena_join_page.dart,direct_vpc,features/arena/presentation/pages/challenge/arena_join_page.dart;features/arena/presentation/widgets/challenge/arena_join_page_common.dart;features/arena/presentation/widgets/challenge/arena_join_page_sections.dart,features/arena/presentation/pages/challenge/arena_join_page.dart,standard,standard,aligned,pass,pass,pass,compliant
AppRouteNames.sc200ArenaPointsEntryDetail,'/arena/ledger/entry/:entryId',AppRouteNames.sc200ArenaPointsEntryDetail,ArenaPointsEntryDetailPage,flutter_app/lib/features/arena/presentation/pages/points/arena_points_entry_detail_page.dart,direct_vpc,features/arena/presentation/pages/points/arena_points_entry_detail_page.dart;features/arena/presentation/widgets/points/arena_points_entry_detail_page_common.dart;features/arena/presentation/widgets/points/arena_points_entry_detail_page_sections.dart,features/arena/presentation/pages/points/arena_points_entry_detail_page.dart,standard,standard,aligned,pass,pass,pass,compliant
AppRouteNames.sc189ArenaModeDetail,'/arena/mode/:modeId',AppRouteNames.sc189ArenaModeDetail,ArenaModeDetailPage,flutter_app/lib/features/arena/presentation/pages/challenge/arena_mode_detail_page.dart,direct_vpc,features/arena/presentation/pages/challenge/arena_mode_detail_page.dart,features/arena/presentation/pages/challenge/arena_mode_detail_page.dart,standard,standard,aligned,pass,pass,pass,compliant
AppRouteNames.sc202ArenaReportCase,'/arena/report/:caseId',AppRouteNames.sc202ArenaReportCase,ArenaReportCasePage,flutter_app/lib/features/arena/presentation/pages/governance/arena_report_case_page.dart,direct_vpc,features/arena/presentation/pages/governance/arena_report_case_page.dart;features/arena/presentation/widgets/governance/arena_report_case_related_common.dart;features/arena/presentation/widgets/governance/arena_report_case_summary_timeline.dart;features/arena/presentation/widgets/governance/arena_report_case_system_appeal.dart,features/arena/presentation/pages/governance/arena_report_case_page.dart,standard,standard,aligned,pass,pass,pass,compliant
AppRouteNames.sc199ArenaTrustBreakdown,'/arena/trust/:userId',AppRouteNames.sc199ArenaTrustBreakdown,ArenaTrustBreakdownPage,flutter_app/lib/features/arena/presentation/pages/governance/arena_trust_breakdown_page.dart,direct_vpc,features/arena/presentation/pages/governance/arena_trust_breakdown_page.dart,features/arena/presentation/pages/governance/arena_trust_breakdown_page.dart,standard,standard,aligned,pass,pass,pass,compliant
