module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
admin,real_page,AppRoutePaths.admin,admin,AppRouteNames.sc180AdminHome,sc180AdminHome,InternalSurfaceGate>buildSurfaceAwareTabletRoute,lib/app/router/route_groups/admin_routes.dart,19
admin,real_page,AppRoutePaths.adminAbtests,adminAbtests,AppRouteNames.sc182AbTestDashboard,sc182AbTestDashboard,InternalSurfaceGate>buildSurfaceAwareTabletRoute,lib/app/router/route_groups/admin_routes.dart,60
admin,real_page,AppRoutePaths.adminAnalytics,adminAnalytics,AppRouteNames.sc181AnalyticsDashboard,sc181AnalyticsDashboard,InternalSurfaceGate>buildSurfaceAwareTabletRoute,lib/app/router/route_groups/admin_routes.dart,40
admin,real_page,AppRoutePaths.adminFunnels,adminFunnels,AppRouteNames.sc183FunnelDashboard,sc183FunnelDashboard,InternalSurfaceGate>buildSurfaceAwareTabletRoute,lib/app/router/route_groups/admin_routes.dart,80
admin,real_page,AppRoutePaths.adminSettings,adminSettings,AppRouteNames.sc410AdminSettings,sc410AdminSettings,InternalSurfaceGate>buildSurfaceAwareTabletRoute,lib/app/router/route_groups/admin_routes.dart,100
arena,real_page,'/arena/challenge/:challengeId','/arena/challenge/:challengeId',AppRouteNames.sc190ArenaChallengeDetail,sc190ArenaChallengeDetail,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,116
arena,real_page,'/arena/creator/:creatorId','/arena/creator/:creatorId',AppRouteNames.sc193ArenaCreator,sc193ArenaCreator,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,152
arena,real_page,'/arena/join/:challengeId','/arena/join/:challengeId',AppRouteNames.sc191ArenaJoin,sc191ArenaJoin,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,129
arena,real_page,'/arena/ledger/entry/:entryId','/arena/ledger/entry/:entryId',AppRouteNames.sc200ArenaPointsEntryDetail,sc200ArenaPointsEntryDetail,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,297
arena,real_page,'/arena/mode/:modeId','/arena/mode/:modeId',AppRouteNames.sc189ArenaModeDetail,sc189ArenaModeDetail,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,103
