module,source_file,line,source_unit,trigger_hint,kind,target_expression,normalized_target,target_screen,notes
app,flutter_app/lib/app/router/internal_surface_gate.dart,96,internal_surface_gate.dart,Restricted surface | Internal surface restricted,context.go,AppRoutePaths.home,/home,HomeResponsiveEntry (/home),
app,flutter_app/lib/app/router/route_error_page.dart,29,route_error_page.dart,Về trang chủ | Không tìm thấy trang,context.go,AppRoutePaths.home,/home,HomeResponsiveEntry (/home),
app,flutter_app/lib/app/router/route_groups/root_routes.dart,55,root_routes.dart,,context.go,destination.routePath,,,dynamic_route_expression
core,flutter_app/lib/core/navigation/back_navigation.dart,25,back_navigation.dart,,context.go,safeFallback,,,dynamic_route_expression
core,flutter_app/lib/core/navigation/back_navigation.dart,31,back_navigation.dart,,context.go,safeFallback,,,dynamic_route_expression
core,flutter_app/lib/core/navigation/back_navigation.dart,28,back_navigation.dart,,context.pop,,,,back_or_close_modal
admin,flutter_app/lib/features/admin/presentation/pages/ab_test_dashboard_page.dart,62,ab_test_dashboard_page.dart,A/B Test Dashboard | Test Results & Analysis | A/B test dashboard | Bảng điều khiển thử nghiệm A/B,context.go,AppRoutePaths.admin,/admin,InternalSurfaceGate>AdminHomePage (/admin),
admin,flutter_app/lib/features/admin/presentation/pages/admin_home_page.dart,68,admin_home_page.dart,Admin Dashboard | DCA Analytics & Monitoring | Trang tổng quan quản trị,context.go,AppRoutePaths.adminSettings,/admin/settings,InternalSurfaceGate>AdminSettingsPage (/admin/settings),
admin,flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart,48,admin_settings_page.dart,Admin Settings | Operations controls | Cài đặt quản trị,context.go,AppRoutePaths.admin,/admin,InternalSurfaceGate>AdminHomePage (/admin),
admin,flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart,90,admin_settings_page.dart,Dashboard routing,context.go,dashboard.route,,,dynamic_route_expression
admin,flutter_app/lib/features/admin/presentation/pages/analytics_dashboard_page.dart,70,analytics_dashboard_page.dart,Analytics Dashboard | DCA Event Analytics | Analytics dashboard | Bảng phân tích dữ liệu,context.go,AppRoutePaths.admin,/admin,InternalSurfaceGate>AdminHomePage (/admin),
