module,file,call_site_family,variant,count,height_tier_px,width_mode,local_duplicate_classes,compliance,notes
admin,admin/presentation/widgets/analytics_dashboard_sections.dart,VitSegmentedChoice,primaryAccent,2,44,equal_expanded,-,pass,
arena,arena/presentation/phone/pages/challenge/arena_challenge_detail_page_tabs_and_panels.dart,VitSegmentedTabBar,segment_alias,1,~28,equal_expanded,-,pass,alias of VitTabBar.segment
arena,arena/presentation/phone/pages/governance/arena_blocked_users_page.dart,VitChoicePill,chip,1,44,hug,-,pass,
arena,arena/presentation/phone/pages/governance/arena_guide_page_guide_tab.dart,VitSegmentedChoice,primaryAccent,3,44,equal_expanded,-,pass,
arena,arena/presentation/phone/pages/governance/arena_guide_page_guide_tab.dart,VitTabBar,underline,1,54,equal_expanded,-,review,nav underline — different tier
arena,arena/presentation/phone/pages/hub/my_arena_page_hero_and_tabs.dart,VitChoicePill,chip,2,44,hug,-,pass,
arena,arena/presentation/phone/pages/hub/my_arena_page_rewards_and_safety.dart,VitChoicePill,chip,1,44,hug,-,pass,
arena,arena/presentation/phone/pages/studio/arena_creator_page.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
arena,arena/presentation/phone/pages/studio/arena_universal_preset_library_page_domains_suggestions_dropdowns.dart,VitFilterChip,filter_accent,1,44,hug_scroll,-,review,wrapper over VitChoicePill
arena,arena/presentation/widgets/challenge/arena_leaderboard_controls.dart,VitChoicePill,chip,1,44,hug,-,pass,
arena,arena/presentation/widgets/challenge/arena_leaderboard_controls.dart,VitFilterChip,filter_accent,1,44,hug_scroll,-,review,wrapper over VitChoicePill
arena,arena/presentation/widgets/challenge/arena_leaderboard_controls.dart,VitTabBar,segment,1,~28,equal_expanded,-,pass,
arena,arena/presentation/widgets/governance/my_arena_reports_page_sections.dart,VitFilterChip,filter_accent,1,44,hug_scroll,-,review,wrapper over VitChoicePill
arena,arena/presentation/widgets/points/arena_points_ledger_page_sections.dart,VitFilterChip,filter_accent,1,44,hug_scroll,-,review,wrapper over VitChoicePill
