module,file,constant_name,value,core_token
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,accentIconBoxSize,34,AppSpacing.x6
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,buttonCompact,34,AppSpacing.x6
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,buttonStandard,55,AppSpacing.x7
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,cardGap,13,AppSpacing.x4
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,gridGap,8,AppSpacing.x3
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,iconLg,34,AppSpacing.x6
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,iconMd,21,AppSpacing.x5
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,iconSm,13,AppSpacing.x4
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,pageRhythmCompactInnerGap,5,AppSpacing.x2
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,pageRhythmFormInnerGap,8,AppSpacing.x3
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,pageRhythmStandardSectionGap,13,AppSpacing.x4
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,rowGap,8,AppSpacing.x3
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,x1,3,AppSpacing.x1
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,x2,5,AppSpacing.x2
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,x3,8,AppSpacing.x3
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,x4,13,AppSpacing.x4
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,x5,21,AppSpacing.x5
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,x6,34,AppSpacing.x6
tablet,flutter_app/lib/app/theme/spacing/tablet_spacing_tokens.dart,x7,55,AppSpacing.x7
