shell,path,page_class,idiom,file
markets,/markets,MarketsTabletPage,hub,lib/features/markets/presentation/tablet/pages/markets_tablet_page.dart
markets,/markets/advanced-charts,MarketsAdvancedChartsPane,pane,lib/features/markets/presentation/widgets/tablet/markets_advanced_charts_pane.dart
markets,/markets/alerts,MarketsAlertsPane,pane,lib/features/markets/presentation/widgets/tablet/markets_alerts_pane.dart
markets,/markets/calendar,MarketsCalendarPane,pane,lib/features/markets/presentation/widgets/tablet/markets_calendar_pane.dart
markets,/markets/compare,MarketsComparePane,pane,lib/features/markets/presentation/widgets/tablet/markets_compare_pane.dart
markets,/markets/correlations,MarketsCorrelationsPane,pane,lib/features/markets/presentation/widgets/tablet/markets_correlations_pane.dart
markets,/markets/depth,MarketsDepthPane,pane,lib/features/markets/presentation/widgets/tablet/markets_depth_pane.dart
markets,/markets/derivatives,MarketsDerivativesPane,pane,lib/features/markets/presentation/widgets/tablet/markets_derivatives_pane.dart
markets,/markets/heatmap,MarketsHeatmapPane,pane,lib/features/markets/presentation/widgets/tablet/markets_heatmap_pane.dart
markets,/markets/movers,MarketsMoversPane,pane,lib/features/markets/presentation/widgets/tablet/markets_movers_pane.dart
markets,/markets/news,MarketsNewsPane,pane,lib/features/markets/presentation/widgets/tablet/markets_news_pane.dart
markets,/markets/overview,MarketsOverviewPane,pane,lib/features/markets/presentation/widgets/tablet/markets_overview_pane.dart
markets,/markets/portfolio-tracker,MarketsPortfolioPane,pane,lib/features/markets/presentation/widgets/tablet/markets_portfolio_pane.dart
markets,/markets/screener,MarketsScreenerPane,pane,lib/features/markets/presentation/widgets/tablet/markets_screener_pane.dart
markets,/markets/sectors,MarketsSectorsPane,pane,lib/features/markets/presentation/widgets/tablet/markets_sectors_pane.dart
markets,/markets/signals,MarketsSignalsPane,pane,lib/features/markets/presentation/widgets/tablet/markets_signals_pane.dart
markets,/markets/social-sentiment,MarketsSentimentPane,pane,lib/features/markets/presentation/widgets/tablet/markets_sentiment_pane.dart
markets,/markets/unlocks,MarketsUnlocksPane,pane,lib/features/markets/presentation/widgets/tablet/markets_unlocks_pane.dart
markets,/markets/watchlist,MarketsWatchlistPane,pane,lib/features/markets/presentation/widgets/tablet/markets_watchlist_pane.dart
markets,/pair/:pairId,MarketsPairDetailPane,pane,lib/features/markets/presentation/widgets/tablet/markets_pair_detail_pane.dart
markets,/pair/:pairId/depth,MarketsPairDepthPane,pane,lib/features/markets/presentation/widgets/tablet/markets_pair_depth_pane.dart
markets,/pair/:pairId/info,MarketsTokenInfoPane,pane,lib/features/markets/presentation/widgets/tablet/markets_token_info_pane.dart
profile,/profile,ProfileTabletPage,pane,lib/features/profile/presentation/tablet/pages/profile_tablet_page.dart
profile,/profile/activity,ProfileActivityPane,pane,lib/features/profile/presentation/widgets/tablet/profile_activity_pane.dart
profile,/profile/api,ProfileApiPane,pane,lib/features/profile/presentation/widgets/tablet/profile_api_pane.dart
profile,/profile/api/create,ProfileApiCreatePane,pane,lib/features/profile/presentation/widgets/tablet/profile_api_create_pane.dart
profile,/profile/arena,,redirect,
profile,/profile/devices,ProfileDevicesPane,pane,lib/features/profile/presentation/widgets/tablet/profile_devices_pane.dart
profile,/profile/edit,ProfileEditPane,pane,lib/features/profile/presentation/widgets/tablet/profile_edit_pane.dart
profile,/profile/kyc,ProfileKycPane,pane,lib/features/profile/presentation/widgets/tablet/profile_kyc_pane.dart
profile,/profile/predictions,,redirect,
profile,/profile/security,ProfileSecurityPane,pane,lib/features/profile/presentation/widgets/tablet/profile_security_pane.dart
profile,/profile/settings,ProfileSettingsPane,pane,lib/features/profile/presentation/widgets/tablet/profile_settings_pane.dart
profile,/profile/sub-accounts,ProfileSubAccountsPane,pane,lib/features/profile/presentation/widgets/tablet/profile_sub_accounts_pane.dart
profile,/profile/vip,ProfileVipPane,pane,lib/features/profile/presentation/widgets/tablet/profile_vip_pane.dart
wallet-history,/wallet/history,TransactionHistoryTabletPage,hub,lib/features/wallet/presentation/tablet/pages/transaction_history_tablet_page.dart
wallet-history,/wallet/transaction/:txId,TransactionDetailTabletPage,hub,lib/features/wallet/presentation/tablet/pages/transaction_detail_tablet_page.dart
