feature,route,pageClass,pageFile,headerBehavior,headerVariant,archetype,screenLevel,expectedArchetype,screenLevelMismatch,usesVitHeader,usesVitTopChrome,customHeaderClass,noHeaderReason,statusBannerPlacement,statusBannerCondition,offlineBannerState,expectedActionCount,exceptionReason,issue
"admin","AppRoutePaths.admin","AdminHomePage","flutter_app/lib/features/admin/presentation/pages/admin_home_page.dart","auto_hide_header","shared_auto_hide_scaffold","detail","L2_detail","detail","no","yes","no","-","-","none","none","none","1","-","-"
"admin","AppRoutePaths.adminAbtests","ABTestDashboardPage","flutter_app/lib/features/admin/presentation/pages/ab_test_dashboard_page.dart","fixed_vit_header","vit_header_default_title_subtitle","detail","L2_sectionHub","detail","no","yes","no","-","-","none","none","none","0","-","-"
"admin","AppRoutePaths.adminAnalytics","AnalyticsDashboardPage","flutter_app/lib/features/admin/presentation/pages/analytics_dashboard_page.dart","fixed_vit_header","vit_header_default_title_subtitle","detail","L2_sectionHub","detail","no","yes","no","-","-","none","none","none","0","-","-"
"admin","AppRoutePaths.adminFunnels","FunnelDashboardPage","flutter_app/lib/features/admin/presentation/pages/funnel_dashboard_page.dart","fixed_vit_header","vit_header_default_title_subtitle","detail","L2_sectionHub","detail","no","yes","no","-","-","none","none","none","0","-","-"
"admin","AppRoutePaths.adminSettings","AdminSettingsPage","flutter_app/lib/features/admin/presentation/pages/admin_settings_page.dart","auto_hide_header","shared_auto_hide_scaffold","detail","L2_utilityDetail","detail","no","yes","no","-","-","none","none","none","0","-","-"
"arena","'/arena/challenge/:challengeId'","ArenaChallengeDetailPage","flutter_app/lib/features/arena/presentation/pages/challenge/arena_challenge_detail_page.dart","auto_hide_header","shared_auto_hide_scaffold","detail","L2_entityDetail","detail","no","yes","no","-","-","none","none","none","0","-","-"
"arena","'/arena/creator/:creatorId'","ArenaCreatorPage","flutter_app/lib/features/arena/presentation/pages/studio/arena_creator_page.dart","auto_hide_header","shared_auto_hide_scaffold","detail","L2_entityDetail","detail","no","yes","no","-","-","none","none","none","0","-","-"
"arena","'/arena/join/:challengeId'","ArenaJoinPage","flutter_app/lib/features/arena/presentation/pages/challenge/arena_join_page.dart","auto_hide_header","shared_auto_hide_scaffold","detail","L2_entityDetail","detail","no","yes","no","-","-","none","none","none","0","-","-"
"arena","'/arena/ledger/entry/:entryId'","ArenaPointsEntryDetailPage","flutter_app/lib/features/arena/presentation/pages/points/arena_points_entry_detail_page.dart","auto_hide_header","shared_auto_hide_scaffold","detail","L2_entityDetail","detail","no","yes","no","-","-","none","none","none","0","-","-"
"arena","'/arena/mode/:modeId'","ArenaModeDetailPage","flutter_app/lib/features/arena/presentation/pages/challenge/arena_mode_detail_page.dart","auto_hide_header","shared_auto_hide_scaffold","detail","L2_entityDetail","detail","no","yes","no","-","-","none","none","none","0","-","-"
"arena","'/arena/report/:caseId'","ArenaReportCasePage","flutter_app/lib/features/arena/presentation/pages/governance/arena_report_case_page.dart","auto_hide_header","shared_auto_hide_scaffold","detail","L2_entityDetail","detail","no","yes","no","-","-","none","none","none","0","-","-"
"arena","'/arena/trust/:userId'","ArenaTrustBreakdownPage","flutter_app/lib/features/arena/presentation/pages/governance/arena_trust_breakdown_page.dart","auto_hide_header","shared_auto_hide_scaffold","detail","L2_entityDetail","detail","no","yes","no","-","-","none","none","none","0","-","-"
"arena","AppRoutePaths.arena","ArenaHomePage","flutter_app/lib/features/arena/presentation/pages/hub/arena_home_page.dart","auto_hide_header","vit_top_chrome_rootModule","rootModule","L1_productModuleHub","rootModule","no","no","yes","-","-","none","none","none","2","-","-"
"arena","AppRoutePaths.arenaBlocked","ArenaBlockedUsersPage","flutter_app/lib/features/arena/presentation/pages/governance/arena_blocked_users_page.dart","auto_hide_header","shared_auto_hide_scaffold","detail","L2_detail","detail","no","yes","no","-","-","none","none","none","0","-","-"
"arena","AppRoutePaths.arenaBridge","ArenaPredictionBridgeFoundationPage","flutter_app/lib/features/arena/presentation/pages/bridge/arena_prediction_bridge_foundation_page.dart","auto_hide_header","shared_auto_hide_scaffold","detail","L2_detail","detail","no","yes","no","-","-","none","none","none","0","-","-"
"arena","AppRoutePaths.arenaEcosystem","ConnectedEcosystemProductionPage","flutter_app/lib/features/arena/presentation/pages/bridge/connected_ecosystem_production_page.dart","auto_hide_header","shared_auto_hide_scaffold","detail","L2_detail","detail","no","yes","no","-","-","none","none","none","0","-","-"
"arena","AppRoutePaths.arenaFlowMap","ArenaFlowMapPage","flutter_app/lib/features/arena/presentation/pages/hub/arena_flow_map_page.dart","auto_hide_header","shared_auto_hide_scaffold","detail","L2_detail","detail","no","yes","no","-","-","none","none","none","0","-","-"
