module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
arena,real_page,'/arena/challenge/:challengeId','/arena/challenge/:challengeId',AppRouteNames.sc190ArenaChallengeDetail,sc190ArenaChallengeDetail,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,116
arena,real_page,'/arena/creator/:creatorId','/arena/creator/:creatorId',AppRouteNames.sc193ArenaCreator,sc193ArenaCreator,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,152
arena,real_page,'/arena/join/:challengeId','/arena/join/:challengeId',AppRouteNames.sc191ArenaJoin,sc191ArenaJoin,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,129
arena,real_page,'/arena/ledger/entry/:entryId','/arena/ledger/entry/:entryId',AppRouteNames.sc200ArenaPointsEntryDetail,sc200ArenaPointsEntryDetail,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,297
arena,real_page,'/arena/mode/:modeId','/arena/mode/:modeId',AppRouteNames.sc189ArenaModeDetail,sc189ArenaModeDetail,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,103
arena,real_page,'/arena/report/:caseId','/arena/report/:caseId',AppRouteNames.sc202ArenaReportCase,sc202ArenaReportCase,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,320
arena,real_page,'/arena/trust/:userId','/arena/trust/:userId',AppRouteNames.sc199ArenaTrustBreakdown,sc199ArenaTrustBreakdown,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,284
arena,real_page,AppRoutePaths.arena,arena,AppRouteNames.sc184ArenaHome,sc184ArenaHome,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,41
arena,real_page,AppRoutePaths.arenaBlocked,arenaBlocked,AppRouteNames.sc203ArenaBlockedUsers,sc203ArenaBlockedUsers,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,217
arena,real_page,AppRoutePaths.arenaBridge,arenaBridge,AppRouteNames.sc207ArenaPredictionBridgeFoundation,sc207ArenaPredictionBridgeFoundation,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,260
arena,real_page,AppRoutePaths.arenaEcosystem,arenaEcosystem,AppRouteNames.sc208ConnectedEcosystemProduction,sc208ConnectedEcosystemProduction,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,272
arena,real_page,AppRoutePaths.arenaFlowMap,arenaFlowMap,AppRouteNames.sc197ArenaFlowMap,sc197ArenaFlowMap,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,197
arena,real_page,AppRoutePaths.arenaGuide,arenaGuide,AppRouteNames.sc209ArenaGuide,sc209ArenaGuide,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,51
arena,real_page,AppRoutePaths.arenaLeaderboard,arenaLeaderboard,AppRouteNames.sc194ArenaLeaderboard,sc194ArenaLeaderboard,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,165
arena,real_page,AppRoutePaths.arenaLedger,arenaLedger,AppRouteNames.sc201ArenaPointsLedger,sc201ArenaPointsLedger,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,310
arena,real_page,AppRoutePaths.arenaMy,arenaMy,AppRouteNames.sc205MyArena,sc205MyArena,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,237
arena,real_page,AppRoutePaths.arenaMyReports,arenaMyReports,AppRouteNames.sc204MyArenaReports,sc204MyArenaReports,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,227
arena,real_page,AppRoutePaths.arenaProduction,arenaProduction,AppRouteNames.sc206ArenaProductionReady,sc206ArenaProductionReady,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,250
arena,real_page,AppRoutePaths.arenaResolution,arenaResolution,AppRouteNames.sc192ArenaResolutionCenter,sc192ArenaResolutionCenter,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,142
arena,real_page,AppRoutePaths.arenaSafety,arenaSafety,AppRouteNames.sc198ArenaSafetyCenter,sc198ArenaSafetyCenter,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,207
arena,real_page,AppRoutePaths.arenaStudio,arenaStudio,AppRouteNames.sc185ArenaStudio,sc185ArenaStudio,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,61
arena,real_page,AppRoutePaths.arenaStudioGovernance,arenaStudioGovernance,AppRouteNames.sc188ArenaGovernanceGate,sc188ArenaGovernanceGate,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,93
arena,real_page,AppRoutePaths.arenaStudioPresets,arenaStudioPresets,AppRouteNames.sc187ArenaPresetLibrary,sc187ArenaPresetLibrary,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,81
arena,real_page,AppRoutePaths.arenaStudioSmartRules,arenaStudioSmartRules,AppRouteNames.sc186ArenaSmartRules,sc186ArenaSmartRules,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,71
arena,real_page,AppRoutePaths.arenaVerified,arenaVerified,AppRouteNames.sc195VerifiedChallenges,sc195VerifiedChallenges,_tabletArenaRoute,lib/app/router/route_groups/arena_routes.dart,175
