module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
dca,real_page,'/dca/rebalance/:configId/edit','/dca/rebalance/:configId/edit',AppRouteNames.sc408DcaRebalanceEdit,sc408DcaRebalanceEdit,_tabletDcaRoute,lib/app/router/route_groups/dca_routes.dart,147
dca,real_page,'/dca/rebalance/:configId/history','/dca/rebalance/:configId/history',AppRouteNames.sc409DcaRebalanceHistory,sc409DcaRebalanceHistory,_tabletDcaRoute,lib/app/router/route_groups/dca_routes.dart,159
dca,real_page,AppRoutePaths.dca,dca,AppRouteNames.sc169Dca,sc169Dca,_tabletDcaRoute,lib/app/router/route_groups/dca_routes.dart,27
dca,real_page,AppRoutePaths.dcaBacktester,dcaBacktester,AppRouteNames.sc176DcaBacktester,sc176DcaBacktester,_tabletDcaRoute,lib/app/router/route_groups/dca_routes.dart,57
dca,real_page,AppRoutePaths.dcaDynamicAmount,dcaDynamicAmount,AppRouteNames.sc175DcaDynamicAmount,sc175DcaDynamicAmount,_tabletDcaRoute,lib/app/router/route_groups/dca_routes.dart,47
dca,real_page,AppRoutePaths.dcaMultiAsset,dcaMultiAsset,AppRouteNames.sc177DcaMultiAsset,sc177DcaMultiAsset,_tabletDcaRoute,lib/app/router/route_groups/dca_routes.dart,67
dca,real_page,AppRoutePaths.dcaPerformanceCompare,dcaPerformanceCompare,AppRouteNames.sc178DcaPerformanceCompare,sc178DcaPerformanceCompare,_tabletDcaRoute,lib/app/router/route_groups/dca_routes.dart,77
dca,real_page,AppRoutePaths.dcaPortfolioOptimizer,dcaPortfolioOptimizer,AppRouteNames.sc174DcaPortfolioOptimizer,sc174DcaPortfolioOptimizer,_tabletDcaRoute,lib/app/router/route_groups/dca_routes.dart,37
dca,real_page,AppRoutePaths.dcaRebalanceConfig,dcaRebalanceConfig,AppRouteNames.sc170DcaRebalanceConfig,sc170DcaRebalanceConfig,_tabletDcaRoute,lib/app/router/route_groups/dca_routes.dart,97
dca,real_page,AppRoutePaths.dcaRebalanceDashboard,dcaRebalanceDashboard,AppRouteNames.sc171DcaRebalanceDashboard,sc171DcaRebalanceDashboard,_tabletDcaRoute,lib/app/router/route_groups/dca_routes.dart,109
dca,real_page,AppRoutePaths.dcaScheduleAnalytics,dcaScheduleAnalytics,AppRouteNames.sc173DcaScheduleAnalytics,sc173DcaScheduleAnalytics,_tabletDcaRoute,lib/app/router/route_groups/dca_routes.dart,134
dca,real_page,AppRoutePaths.dcaScheduleConfig,dcaScheduleConfig,AppRouteNames.sc172DcaScheduleConfig,sc172DcaScheduleConfig,_tabletDcaRoute,lib/app/router/route_groups/dca_routes.dart,122
dca,real_page,AppRoutePaths.dcaSmartRules,dcaSmartRules,AppRouteNames.sc179DcaSmartRules,sc179DcaSmartRules,_tabletDcaRoute,lib/app/router/route_groups/dca_routes.dart,87
