module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
earn_savings,real_page,AppRoutePaths.earnSavings,earnSavings,AppRouteNames.sc329Savings,sc329Savings,real_page,lib/app/router/route_groups/earn_savings_routes.dart,17
earn_savings,real_page,AppRoutePaths.earnSavingsAnalytics,earnSavingsAnalytics,AppRouteNames.sc343SavingsAnalytics,sc343SavingsAnalytics,real_page,lib/app/router/route_groups/earn_savings_routes.dart,72
earn_savings,real_page,AppRoutePaths.earnSavingsAutoCompound,earnSavingsAutoCompound,AppRouteNames.sc341AutoCompoundSettings,sc341AutoCompoundSettings,real_page,lib/app/router/route_groups/earn_savings_routes.dart,62
earn_savings,real_page,AppRoutePaths.earnSavingsAutoPilot,earnSavingsAutoPilot,AppRouteNames.sc350SavingsAutoPilot,sc350SavingsAutoPilot,real_page,lib/app/router/route_groups/earn_savings_routes.dart,107
earn_savings,real_page,AppRoutePaths.earnSavingsBacktest,earnSavingsBacktest,AppRouteNames.sc349SavingsBacktest,sc349SavingsBacktest,real_page,lib/app/router/route_groups/earn_savings_routes.dart,102
earn_savings,real_page,AppRoutePaths.earnSavingsComparison,earnSavingsComparison,AppRouteNames.sc340SavingsComparison,sc340SavingsComparison,real_page,lib/app/router/route_groups/earn_savings_routes.dart,57
earn_savings,real_page,AppRoutePaths.earnSavingsDca,earnSavingsDca,AppRouteNames.sc346SavingsDca,sc346SavingsDca,real_page,lib/app/router/route_groups/earn_savings_routes.dart,87
earn_savings,real_page,AppRoutePaths.earnSavingsExport,earnSavingsExport,AppRouteNames.sc348SavingsExport,sc348SavingsExport,real_page,lib/app/router/route_groups/earn_savings_routes.dart,97
earn_savings,real_page,AppRoutePaths.earnSavingsFAQ,earnSavingsFAQ,AppRouteNames.sc336SavingsFAQ,sc336SavingsFAQ,real_page,lib/app/router/route_groups/earn_savings_routes.dart,37
earn_savings,real_page,AppRoutePaths.earnSavingsGoals,earnSavingsGoals,AppRouteNames.sc342SavingsGoal,sc342SavingsGoal,real_page,lib/app/router/route_groups/earn_savings_routes.dart,67
earn_savings,real_page,AppRoutePaths.earnSavingsGuide,earnSavingsGuide,AppRouteNames.sc335SavingsGuide,sc335SavingsGuide,real_page,lib/app/router/route_groups/earn_savings_routes.dart,32
earn_savings,real_page,AppRoutePaths.earnSavingsHistory,earnSavingsHistory,AppRouteNames.sc334SavingsHistory,sc334SavingsHistory,real_page,lib/app/router/route_groups/earn_savings_routes.dart,27
earn_savings,real_page,AppRoutePaths.earnSavingsLadder,earnSavingsLadder,AppRouteNames.sc351SavingsLadder,sc351SavingsLadder,real_page,lib/app/router/route_groups/earn_savings_routes.dart,112
earn_savings,real_page,AppRoutePaths.earnSavingsNotificationPreferences,earnSavingsNotificationPreferences,AppRouteNames.sc345SavingsNotificationPreferences,sc345SavingsNotificationPreferences,real_page,lib/app/router/route_groups/earn_savings_routes.dart,82
earn_savings,real_page,AppRoutePaths.earnSavingsNotifications,earnSavingsNotifications,AppRouteNames.sc337SavingsNotifications,sc337SavingsNotifications,real_page,lib/app/router/route_groups/earn_savings_routes.dart,42
earn_savings,real_page,AppRoutePaths.earnSavingsPortfolio,earnSavingsPortfolio,AppRouteNames.sc333SavingsPortfolio,sc333SavingsPortfolio,real_page,lib/app/router/route_groups/earn_savings_routes.dart,22
earn_savings,real_page,AppRoutePaths.earnSavingsProductSample,earnSavingsProductSample,AppRouteNames.sc330SavingsProductDetail,sc330SavingsProductDetail,SavingsProductDetailPage,lib/app/router/route_groups/earn_savings_routes.dart,122
earn_savings,real_page,AppRoutePaths.earnSavingsRebalance,earnSavingsRebalance,AppRouteNames.sc344SavingsAutoRebalance,sc344SavingsAutoRebalance,real_page,lib/app/router/route_groups/earn_savings_routes.dart,77
earn_savings,real_page,AppRoutePaths.earnSavingsReceipt,earnSavingsReceipt,AppRouteNames.sc332SavingsReceipt,sc332SavingsReceipt,real_page,lib/app/router/route_groups/earn_savings_routes.dart,138
earn_savings,real_page,AppRoutePaths.earnSavingsRecommendations,earnSavingsRecommendations,AppRouteNames.sc338SavingsRecommendations,sc338SavingsRecommendations,real_page,lib/app/router/route_groups/earn_savings_routes.dart,47
earn_savings,real_page,AppRoutePaths.earnSavingsRedeemPos001,earnSavingsRedeemPos001,AppRouteNames.sc331SavingsRedeem,sc331SavingsRedeem,SavingsRedeemPage,lib/app/router/route_groups/earn_savings_routes.dart,130
earn_savings,real_page,AppRoutePaths.earnSavingsRiskAssessment,earnSavingsRiskAssessment,AppRouteNames.sc339SavingsRiskAssessment,sc339SavingsRiskAssessment,real_page,lib/app/router/route_groups/earn_savings_routes.dart,52
earn_savings,real_page,AppRoutePaths.earnSavingsSmartSuggestions,earnSavingsSmartSuggestions,AppRouteNames.sc347SavingsSmartSuggestions,sc347SavingsSmartSuggestions,real_page,lib/app/router/route_groups/earn_savings_routes.dart,92
earn_savings,real_page,AppRoutePaths.earnSavingsWhatIf,earnSavingsWhatIf,AppRouteNames.sc352SavingsWhatIf,sc352SavingsWhatIf,real_page,lib/app/router/route_groups/earn_savings_routes.dart,117
