module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
earn_staking,real_page,AppRoutePaths.earn,earn,AppRouteNames.sc327StakingEarn,sc327StakingEarn,StakingEarnPage,lib/app/router/route_groups/earn_staking_routes.dart,62
earn_staking,real_page,AppRoutePaths.earnAdvancedOrders,earnAdvancedOrders,AppRouteNames.sc366StakingAdvancedOrders,sc366StakingAdvancedOrders,StakingAdvancedOrdersPage,lib/app/router/route_groups/earn_staking_routes.dart,147
earn_staking,real_page,AppRoutePaths.earnAnalytics,earnAnalytics,AppRouteNames.sc359StakingAnalytics,sc359StakingAnalytics,StakingAnalyticsPage,lib/app/router/route_groups/earn_staking_routes.dart,113
earn_staking,real_page,AppRoutePaths.earnApiDocumentation,earnApiDocumentation,AppRouteNames.sc379StakingApiDocumentation,sc379StakingApiDocumentation,StakingApiDocumentationPage,lib/app/router/route_groups/earn_staking_routes.dart,223
earn_staking,real_page,AppRoutePaths.earnAuditReports,earnAuditReports,AppRouteNames.sc374StakingAuditReports,sc374StakingAuditReports,StakingAuditReportsPage,lib/app/router/route_groups/earn_staking_routes.dart,193
earn_staking,real_page,AppRoutePaths.earnAutoCompound,earnAutoCompound,AppRouteNames.sc363StakingAutoCompound,sc363StakingAutoCompound,StakingAutoCompoundPage,lib/app/router/route_groups/earn_staking_routes.dart,130
earn_staking,real_page,AppRoutePaths.earnCalendar,earnCalendar,AppRouteNames.sc361StakingEarningsCalendar,sc361StakingEarningsCalendar,StakingEarningsCalendarPage,lib/app/router/route_groups/earn_staking_routes.dart,118
earn_staking,real_page,AppRoutePaths.earnCommunityGovernance,earnCommunityGovernance,AppRouteNames.sc388StakingCommunityGovernance,sc388StakingCommunityGovernance,StakingCommunityGovernancePage,lib/app/router/route_groups/earn_staking_routes.dart,277
earn_staking,real_page,AppRoutePaths.earnContingencyPlan,earnContingencyPlan,AppRouteNames.sc386StakingContingencyPlan,sc386StakingContingencyPlan,StakingContingencyPlanPage,lib/app/router/route_groups/earn_staking_routes.dart,265
earn_staking,real_page,AppRoutePaths.earnCustody,earnCustody,AppRouteNames.sc375StakingCustody,sc375StakingCustody,StakingCustodyPage,lib/app/router/route_groups/earn_staking_routes.dart,199
earn_staking,real_page,AppRoutePaths.earnDashboard,earnDashboard,AppRouteNames.sc358StakingDashboard,sc358StakingDashboard,StakingDashboardPage,lib/app/router/route_groups/earn_staking_routes.dart,108
earn_staking,real_page,AppRoutePaths.earnDataExport,earnDataExport,AppRouteNames.sc394StakingDataExport,sc394StakingDataExport,StakingDataExportPage,lib/app/router/route_groups/earn_staking_routes.dart,311
earn_staking,real_page,AppRoutePaths.earnDeveloperConsole,earnDeveloperConsole,AppRouteNames.sc396StakingDeveloperConsole,sc396StakingDeveloperConsole,StakingDeveloperConsolePage,lib/app/router/route_groups/earn_staking_routes.dart,323
earn_staking,real_page,AppRoutePaths.earnEmergencyActions,earnEmergencyActions,AppRouteNames.sc385StakingEmergencyActions,sc385StakingEmergencyActions,StakingEmergencyActionsPage,lib/app/router/route_groups/earn_staking_routes.dart,259
earn_staking,real_page,AppRoutePaths.earnFAQ,earnFAQ,AppRouteNames.sc370StakingFAQ,sc370StakingFAQ,StakingFAQPage,lib/app/router/route_groups/earn_staking_routes.dart,170
earn_staking,real_page,AppRoutePaths.earnForum,earnForum,AppRouteNames.sc392StakingForum,sc392StakingForum,StakingForumPage,lib/app/router/route_groups/earn_staking_routes.dart,301
earn_staking,real_page,AppRoutePaths.earnGuide,earnGuide,AppRouteNames.sc369StakingGuide,sc369StakingGuide,StakingGuidePage,lib/app/router/route_groups/earn_staking_routes.dart,165
earn_staking,real_page,AppRoutePaths.earnHistory,earnHistory,AppRouteNames.sc360StakingHistory,sc360StakingHistory,StakingHistoryPage,lib/app/router/route_groups/earn_staking_routes.dart,97
earn_staking,real_page,AppRoutePaths.earnInstitutional,earnInstitutional,AppRouteNames.sc368StakingInstitutional,sc368StakingInstitutional,StakingInstitutionalPage,lib/app/router/route_groups/earn_staking_routes.dart,159
earn_staking,real_page,AppRoutePaths.earnInsurance,earnInsurance,AppRouteNames.sc365StakingInsurance,sc365StakingInsurance,StakingInsurancePage,lib/app/router/route_groups/earn_staking_routes.dart,142
earn_staking,real_page,AppRoutePaths.earnInsuranceFundTransparency,earnInsuranceFundTransparency,AppRouteNames.sc377StakingInsuranceFundTransparency,sc377StakingInsuranceFundTransparency,StakingInsuranceFundTransparencyPage,lib/app/router/route_groups/earn_staking_routes.dart,210
earn_staking,real_page,AppRoutePaths.earnLiquidStaking,earnLiquidStaking,AppRouteNames.sc364StakingLiquidStaking,sc364StakingLiquidStaking,StakingLiquidStakingPage,lib/app/router/route_groups/earn_staking_routes.dart,136
earn_staking,real_page,AppRoutePaths.earnMultiChain,earnMultiChain,AppRouteNames.sc367StakingMultiChain,sc367StakingMultiChain,StakingMultiChainPage,lib/app/router/route_groups/earn_staking_routes.dart,153
earn_staking,real_page,AppRoutePaths.earnNotifications,earnNotifications,AppRouteNames.sc371StakingNotifications,sc371StakingNotifications,StakingNotificationsPage,lib/app/router/route_groups/earn_staking_routes.dart,175
earn_staking,real_page,AppRoutePaths.earnProofOfReserves,earnProofOfReserves,AppRouteNames.sc380StakingProofOfReserves,sc380StakingProofOfReserves,StakingProofOfReservesPage,lib/app/router/route_groups/earn_staking_routes.dart,229
earn_staking,real_page,AppRoutePaths.earnProposals,earnProposals,AppRouteNames.sc389StakingProposals,sc389StakingProposals,StakingProposalsPage,lib/app/router/route_groups/earn_staking_routes.dart,283
earn_staking,real_page,AppRoutePaths.earnRecommendations,earnRecommendations,AppRouteNames.sc372StakingRecommendations,sc372StakingRecommendations,StakingRecommendationsPage,lib/app/router/route_groups/earn_staking_routes.dart,181
earn_staking,real_page,AppRoutePaths.earnRegulatoryFramework,earnRegulatoryFramework,AppRouteNames.sc373StakingRegulatoryFramework,sc373StakingRegulatoryFramework,StakingRegulatoryFrameworkPage,lib/app/router/route_groups/earn_staking_routes.dart,187
earn_staking,real_page,AppRoutePaths.earnRiskDashboard,earnRiskDashboard,AppRouteNames.sc381StakingRiskDashboard,sc381StakingRiskDashboard,StakingRiskDashboardPage,lib/app/router/route_groups/earn_staking_routes.dart,235
earn_staking,real_page,AppRoutePaths.earnRiskScoreCalculator,earnRiskScoreCalculator,AppRouteNames.sc384StakingRiskScoreCalculator,sc384StakingRiskScoreCalculator,StakingRiskScoreCalculatorPage,lib/app/router/route_groups/earn_staking_routes.dart,253
earn_staking,real_page,AppRoutePaths.earnSlashingHistory,earnSlashingHistory,AppRouteNames.sc382StakingSlashingHistory,sc382StakingSlashingHistory,StakingSlashingHistoryPage,lib/app/router/route_groups/earn_staking_routes.dart,241
earn_staking,real_page,AppRoutePaths.earnSocialFeed,earnSocialFeed,AppRouteNames.sc387StakingSocialFeed,sc387StakingSocialFeed,StakingSocialFeedPage,lib/app/router/route_groups/earn_staking_routes.dart,271
earn_staking,real_page,AppRoutePaths.earnStaking,earnStaking,AppRouteNames.sc328StakingEarnStaking,sc328StakingEarnStaking,StakingEarnPage,lib/app/router/route_groups/earn_staking_routes.dart,67
earn_staking,real_page,AppRoutePaths.earnStakingRiskAssessment,earnStakingRiskAssessment,AppRouteNames.sc357StakingRiskAssessment,sc357StakingRiskAssessment,StakingRiskAssessmentPage,lib/app/router/route_groups/earn_staking_routes.dart,102
earn_staking,real_page,AppRoutePaths.earnStakingRiskDisclosure,earnStakingRiskDisclosure,AppRouteNames.sc354StakingRiskDisclosure,sc354StakingRiskDisclosure,StakingRiskDisclosurePage,lib/app/router/route_groups/earn_staking_routes.dart,80
earn_staking,real_page,AppRoutePaths.earnStakingTaxGuide,earnStakingTaxGuide,AppRouteNames.sc356StakingTaxGuide,sc356StakingTaxGuide,StakingTaxGuidePage,lib/app/router/route_groups/earn_staking_routes.dart,92
earn_staking,real_page,AppRoutePaths.earnStakingTerms,earnStakingTerms,AppRouteNames.sc353StakingTerms,sc353StakingTerms,StakingTermsPage,lib/app/router/route_groups/earn_staking_routes.dart,75
earn_staking,real_page,AppRoutePaths.earnStakingWithdrawalPolicy,earnStakingWithdrawalPolicy,AppRouteNames.sc355StakingWithdrawalPolicy,sc355StakingWithdrawalPolicy,StakingWithdrawalPolicyPage,lib/app/router/route_groups/earn_staking_routes.dart,86
earn_staking,real_page,AppRoutePaths.earnSuitabilityAssessment,earnSuitabilityAssessment,AppRouteNames.sc376StakingSuitabilityAssessment,sc376StakingSuitabilityAssessment,StakingSuitabilityAssessmentPage,lib/app/router/route_groups/earn_staking_routes.dart,204
earn_staking,real_page,AppRoutePaths.earnThirdPartyIntegrations,earnThirdPartyIntegrations,AppRouteNames.sc395StakingThirdPartyIntegrations,sc395StakingThirdPartyIntegrations,StakingThirdPartyIntegrationsPage,lib/app/router/route_groups/earn_staking_routes.dart,317
earn_staking,real_page,AppRoutePaths.earnTransactionReporting,earnTransactionReporting,AppRouteNames.sc378StakingTransactionReporting,sc378StakingTransactionReporting,StakingTransactionReportingPage,lib/app/router/route_groups/earn_staking_routes.dart,217
earn_staking,real_page,AppRoutePaths.earnValidatorHealthMonitor,earnValidatorHealthMonitor,AppRouteNames.sc383StakingValidatorHealthMonitor,sc383StakingValidatorHealthMonitor,StakingValidatorHealthMonitorPage,lib/app/router/route_groups/earn_staking_routes.dart,247
earn_staking,real_page,AppRoutePaths.earnValidatorSelection,earnValidatorSelection,AppRouteNames.sc362StakingValidatorSelection,sc362StakingValidatorSelection,StakingValidatorSelectionPage,lib/app/router/route_groups/earn_staking_routes.dart,124
earn_staking,real_page,AppRoutePaths.earnVoting,earnVoting,AppRouteNames.sc391StakingVoting,sc391StakingVoting,StakingVotingPage,lib/app/router/route_groups/earn_staking_routes.dart,296
earn_staking,real_page,AppRoutePaths.earnVotingProposalRoute,earnVotingProposalRoute,AppRouteNames.sc390StakingVotingDetail,sc390StakingVotingDetail,StakingVotingPage,lib/app/router/route_groups/earn_staking_routes.dart,288
earn_staking,real_page,AppRoutePaths.earnWebhooks,earnWebhooks,AppRouteNames.sc393StakingWebhooks,sc393StakingWebhooks,StakingWebhooksPage,lib/app/router/route_groups/earn_staking_routes.dart,306
