module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
launchpad,real_page,AppRoutePaths.launchpad,launchpad,AppRouteNames.sc295Launchpad,sc295Launchpad,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,40
launchpad,real_page,AppRoutePaths.launchpadAbiDiff,launchpadAbiDiff,AppRouteNames.sc308LaunchpadAbiDiff,sc308LaunchpadAbiDiff,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,160
launchpad,real_page,AppRoutePaths.launchpadAddressBook,launchpadAddressBook,AppRouteNames.sc309LaunchpadAddressBook,sc309LaunchpadAddressBook,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,170
launchpad,real_page,AppRoutePaths.launchpadBatchClaim,launchpadBatchClaim,AppRouteNames.sc304LaunchpadBatchClaim,sc304LaunchpadBatchClaim,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,120
launchpad,real_page,AppRoutePaths.launchpadBridgeCompare,launchpadBridgeCompare,AppRouteNames.sc305LaunchpadBridgeCompare,sc305LaunchpadBridgeCompare,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,130
launchpad,real_page,AppRoutePaths.launchpadBridgeOrderTx001,launchpadBridgeOrderTx001,AppRouteNames.sc303LaunchpadBridgeOrder,sc303LaunchpadBridgeOrder,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,270
launchpad,real_page,AppRoutePaths.launchpadClaimReceiptPos001,launchpadClaimReceiptPos001,AppRouteNames.sc302LaunchpadClaimReceipt,sc302LaunchpadClaimReceipt,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,110
launchpad,real_page,AppRoutePaths.launchpadContractSample,launchpadContractSample,AppRouteNames.sc300LaunchpadContract,sc300LaunchpadContract,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,90
launchpad,real_page,AppRoutePaths.launchpadDcaBuilder,launchpadDcaBuilder,AppRouteNames.sc316LaunchpadDcaBuilder,sc316LaunchpadDcaBuilder,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,240
launchpad,real_page,AppRoutePaths.launchpadEventLog,launchpadEventLog,AppRouteNames.sc307LaunchpadEventLog,sc307LaunchpadEventLog,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,150
launchpad,real_page,AppRoutePaths.launchpadGasTracker,launchpadGasTracker,AppRouteNames.sc311LaunchpadGasTracker,sc311LaunchpadGasTracker,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,190
launchpad,real_page,AppRoutePaths.launchpadIdoBridgeSample,launchpadIdoBridgeSample,AppRouteNames.sc299LaunchpadIdoBridge,sc299LaunchpadIdoBridge,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,80
launchpad,real_page,AppRoutePaths.launchpadLimitOrders,launchpadLimitOrders,AppRouteNames.sc315LaunchpadLimitOrders,sc315LaunchpadLimitOrders,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,230
launchpad,real_page,AppRoutePaths.launchpadMultisig,launchpadMultisig,AppRouteNames.sc313LaunchpadMultisig,sc313LaunchpadMultisig,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,210
launchpad,real_page,AppRoutePaths.launchpadNotifSound,launchpadNotifSound,AppRouteNames.sc306LaunchpadNotifSound,sc306LaunchpadNotifSound,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,140
launchpad,real_page,AppRoutePaths.launchpadPerformance,launchpadPerformance,AppRouteNames.sc297LaunchpadPerformance,sc297LaunchpadPerformance,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,60
launchpad,real_page,AppRoutePaths.launchpadPortfolio,launchpadPortfolio,AppRouteNames.sc296LaunchpadPortfolio,sc296LaunchpadPortfolio,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,50
launchpad,real_page,AppRoutePaths.launchpadRebalance,launchpadRebalance,AppRouteNames.sc312LaunchpadRebalance,sc312LaunchpadRebalance,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,200
launchpad,real_page,AppRoutePaths.launchpadReceiptSub001,launchpadReceiptSub001,AppRouteNames.sc301LaunchpadReceipt,sc301LaunchpadReceipt,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,100
launchpad,real_page,AppRoutePaths.launchpadRiskAnalytics,launchpadRiskAnalytics,AppRouteNames.sc317LaunchpadRiskAnalytics,sc317LaunchpadRiskAnalytics,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,250
launchpad,real_page,AppRoutePaths.launchpadSample,launchpadSample,AppRouteNames.sc318LaunchpadDetail,sc318LaunchpadDetail,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,260
launchpad,real_page,AppRoutePaths.launchpadStaking,launchpadStaking,AppRouteNames.sc298LaunchpadStaking,sc298LaunchpadStaking,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,70
launchpad,real_page,AppRoutePaths.launchpadSwapAggregator,launchpadSwapAggregator,AppRouteNames.sc314LaunchpadSwapAggregator,sc314LaunchpadSwapAggregator,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,220
launchpad,real_page,AppRoutePaths.launchpadWebhooks,launchpadWebhooks,AppRouteNames.sc310LaunchpadWebhooks,sc310LaunchpadWebhooks,_tabletLaunchpadRoute,lib/app/router/route_groups/launchpad_routes.dart,180
