module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
p2p_marketplace,real_page,'/p2p/ad-analytics/:adId','/p2p/ad-analytics/:adId',AppRouteNames.sc223P2PAdAnalytics,sc223P2PAdAnalytics,switch,lib/app/router/route_groups/p2p_marketplace_routes.dart,53
p2p_marketplace,real_page,'/p2p/ad/:adId','/p2p/ad/:adId',AppRouteNames.sc224P2PAdDetail,sc224P2PAdDetail,switch,lib/app/router/route_groups/p2p_marketplace_routes.dart,66
p2p_marketplace,real_page,AppRoutePaths.p2p,p2p,AppRouteNames.sc282P2PHome,sc282P2PHome,P2PHomePage,lib/app/router/route_groups/p2p_marketplace_routes.dart,120
p2p_marketplace,real_page,AppRoutePaths.p2pCreate,p2pCreate,AppRouteNames.sc226P2PCreateAd,sc226P2PCreateAd,P2PCreateAdPage,lib/app/router/route_groups/p2p_marketplace_routes.dart,84
p2p_marketplace,real_page,AppRoutePaths.p2pDashboard,p2pDashboard,AppRouteNames.sc274P2PDashboard,sc274P2PDashboard,P2PDashboardPage,lib/app/router/route_groups/p2p_marketplace_routes.dart,115
p2p_marketplace,real_page,AppRoutePaths.p2pExpress,p2pExpress,AppRouteNames.sc211P2PExpress,sc211P2PExpress,P2PExpressPage,lib/app/router/route_groups/p2p_marketplace_routes.dart,30
p2p_marketplace,real_page,AppRoutePaths.p2pExpressConfirm,p2pExpressConfirm,AppRouteNames.sc210P2PExpressConfirm,sc210P2PExpressConfirm,switch,lib/app/router/route_groups/p2p_marketplace_routes.dart,35
p2p_marketplace,real_page,AppRoutePaths.p2pGuide,p2pGuide,AppRouteNames.sc280P2PGuide,sc280P2PGuide,P2PGuidePage,lib/app/router/route_groups/p2p_marketplace_routes.dart,94
p2p_marketplace,real_page,AppRoutePaths.p2pMyAds,p2pMyAds,AppRouteNames.sc225P2PMyAds,sc225P2PMyAds,P2PMyAdsPage,lib/app/router/route_groups/p2p_marketplace_routes.dart,79
p2p_marketplace,real_page,AppRoutePaths.p2pOrderBook,p2pOrderBook,AppRouteNames.sc273P2POrderBook,sc273P2POrderBook,P2POrderBookPage,lib/app/router/route_groups/p2p_marketplace_routes.dart,110
p2p_marketplace,real_page,AppRoutePaths.p2pSettings,p2pSettings,AppRouteNames.sc279P2PSettings,sc279P2PSettings,P2PSettingsPage,lib/app/router/route_groups/p2p_marketplace_routes.dart,99
p2p_marketplace,real_page,AppRoutePaths.p2pSettingsNotifications,p2pSettingsNotifications,AppRouteNames.sc278P2PNotificationsSettings,sc278P2PNotificationsSettings,P2PNotificationsSettingsPage,lib/app/router/route_groups/p2p_marketplace_routes.dart,104
p2p_marketplace,real_page,AppRoutePaths.p2pTradingLevel,p2pTradingLevel,AppRouteNames.sc230P2PTradingLevel,sc230P2PTradingLevel,P2PTradingLevelPage,lib/app/router/route_groups/p2p_marketplace_routes.dart,89
