module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
p2p_orders,real_page,'/p2p/chat/:orderId','/p2p/chat/:orderId',AppRouteNames.sc217P2PChat,sc217P2PChat,P2PChatPage,lib/app/router/route_groups/p2p_orders_routes.dart,69
p2p_orders,real_page,'/p2p/escrow/:orderId','/p2p/escrow/:orderId',AppRouteNames.sc246P2PEscrowDetail,sc246P2PEscrowDetail,P2PEscrowDetailPage,lib/app/router/route_groups/p2p_orders_routes.dart,85
p2p_orders,real_page,'/p2p/order/:orderId','/p2p/order/:orderId',AppRouteNames.sc216P2POrder,sc216P2POrder,P2POrderPage,lib/app/router/route_groups/p2p_orders_routes.dart,61
p2p_orders,real_page,'/p2p/order/cancel/:orderId','/p2p/order/cancel/:orderId',AppRouteNames.sc214P2POrderCancel,sc214P2POrderCancel,P2POrderCancelPage,lib/app/router/route_groups/p2p_orders_routes.dart,45
p2p_orders,real_page,'/p2p/order/proof/:orderId','/p2p/order/proof/:orderId',AppRouteNames.sc215P2POrderProof,sc215P2POrderProof,P2POrderProofPage,lib/app/router/route_groups/p2p_orders_routes.dart,53
p2p_orders,real_page,'/p2p/order/rate/:orderId','/p2p/order/rate/:orderId',AppRouteNames.sc213P2POrderRate,sc213P2POrderRate,P2POrderRatePage,lib/app/router/route_groups/p2p_orders_routes.dart,37
p2p_orders,real_page,'/p2p/order/timeline/:orderId','/p2p/order/timeline/:orderId',AppRouteNames.sc212P2POrderTimeline,sc212P2POrderTimeline,P2POrderTimelinePage,lib/app/router/route_groups/p2p_orders_routes.dart,29
p2p_orders,real_page,AppRoutePaths.p2pEscrowBalance,p2pEscrowBalance,AppRouteNames.sc245P2PEscrowBalance,sc245P2PEscrowBalance,P2PEscrowBalancePage,lib/app/router/route_groups/p2p_orders_routes.dart,77
p2p_orders,real_page,AppRoutePaths.p2pMyOrders,p2pMyOrders,AppRouteNames.sc281P2PMyOrders,sc281P2PMyOrders,P2PMyOrdersPage,lib/app/router/route_groups/p2p_orders_routes.dart,126
p2p_orders,real_page,AppRoutePaths.p2pWallet,p2pWallet,AppRouteNames.sc264P2PWallet,sc264P2PWallet,P2PWalletPage,lib/app/router/route_groups/p2p_orders_routes.dart,93
p2p_orders,real_page,AppRoutePaths.p2pWalletFundLockHistory,p2pWalletFundLockHistory,AppRouteNames.sc262P2PFundLockHistory,sc262P2PFundLockHistory,P2PFundLockHistoryPage,lib/app/router/route_groups/p2p_orders_routes.dart,112
p2p_orders,real_page,AppRoutePaths.p2pWalletHistory,p2pWalletHistory,AppRouteNames.sc263P2PWalletHistoryAlias,sc263P2PWalletHistoryAlias,P2PFundLockHistoryPage,lib/app/router/route_groups/p2p_orders_routes.dart,118
p2p_orders,real_page,AppRoutePaths.p2pWalletTransfer,p2pWalletTransfer,AppRouteNames.sc261P2PWalletTransfer,sc261P2PWalletTransfer,switch,lib/app/router/route_groups/p2p_orders_routes.dart,98
