module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
p2p_security,real_page,'/p2p/report/:merchantId','/p2p/report/:merchantId',AppRouteNames.sc229P2PReportMerchant,sc229P2PReportMerchant,switch,lib/app/router/route_groups/p2p_security_routes.dart,214
p2p_security,real_page,'/p2p/tax-report/detailed/:year','/p2p/tax-report/detailed/:year',AppRouteNames.sc407P2PTaxReportDetail,sc407P2PTaxReportDetail,switch,lib/app/router/route_groups/p2p_security_routes.dart,606
p2p_security,real_page,AppRoutePaths.p2pAchievements,p2pAchievements,AppRouteNames.sc275P2PAchievements,sc275P2PAchievements,switch,lib/app/router/route_groups/p2p_security_routes.dart,583
p2p_security,real_page,AppRoutePaths.p2pBlacklist,p2pBlacklist,AppRouteNames.sc277P2PBlacklist,sc277P2PBlacklist,switch,lib/app/router/route_groups/p2p_security_routes.dart,311
p2p_security,real_page,AppRoutePaths.p2pBlacklistAdd,p2pBlacklistAdd,AppRouteNames.sc276P2PBlacklistAdd,sc276P2PBlacklistAdd,switch,lib/app/router/route_groups/p2p_security_routes.dart,286
p2p_security,real_page,AppRoutePaths.p2pComplianceAmlScreening,p2pComplianceAmlScreening,AppRouteNames.sc268P2PAmlScreening,sc268P2PAmlScreening,switch,lib/app/router/route_groups/p2p_security_routes.dart,453
p2p_security,real_page,AppRoutePaths.p2pComplianceLargeTransaction,p2pComplianceLargeTransaction,AppRouteNames.sc270P2PLargeTransaction,sc270P2PLargeTransaction,switch,lib/app/router/route_groups/p2p_security_routes.dart,503
p2p_security,real_page,AppRoutePaths.p2pComplianceOverview,p2pComplianceOverview,AppRouteNames.sc267P2PComplianceOverview,sc267P2PComplianceOverview,switch,lib/app/router/route_groups/p2p_security_routes.dart,430
p2p_security,real_page,AppRoutePaths.p2pComplianceRiskAssessment,p2pComplianceRiskAssessment,AppRouteNames.sc271P2PRiskAssessment,sc271P2PRiskAssessment,switch,lib/app/router/route_groups/p2p_security_routes.dart,533
p2p_security,real_page,AppRoutePaths.p2pComplianceSourceOfFunds,p2pComplianceSourceOfFunds,AppRouteNames.sc269P2PSourceOfFunds,sc269P2PSourceOfFunds,switch,lib/app/router/route_groups/p2p_security_routes.dart,478
p2p_security,real_page,AppRoutePaths.p2pContributionHistory,p2pContributionHistory,AppRouteNames.sc242P2PContributionHistory,sc242P2PContributionHistory,switch,lib/app/router/route_groups/p2p_security_routes.dart,263
p2p_security,real_page,AppRoutePaths.p2pE2EInfo,p2pE2EInfo,AppRouteNames.sc259P2PE2EInfo,sc259P2PE2EInfo,switch,lib/app/router/route_groups/p2p_security_routes.dart,336
p2p_security,real_page,AppRoutePaths.p2pFraudPrevention,p2pFraudPrevention,AppRouteNames.sc260P2PFraudPrevention,sc260P2PFraudPrevention,switch,lib/app/router/route_groups/p2p_security_routes.dart,359
p2p_security,real_page,AppRoutePaths.p2pLimits,p2pLimits,AppRouteNames.sc266P2PTransactionLimits,sc266P2PTransactionLimits,switch,lib/app/router/route_groups/p2p_security_routes.dart,382
p2p_security,real_page,AppRoutePaths.p2pLimitsTracker,p2pLimitsTracker,AppRouteNames.sc265P2PLimitTracker,sc265P2PLimitTracker,switch,lib/app/router/route_groups/p2p_security_routes.dart,407
p2p_security,real_page,AppRoutePaths.p2pReviews,p2pReviews,AppRouteNames.sc231P2PReviews,sc231P2PReviews,switch,lib/app/router/route_groups/p2p_security_routes.dart,240
p2p_security,real_page,AppRoutePaths.p2pSecurity2fa,p2pSecurity2fa,AppRouteNames.sc254P2P2FASettings,sc254P2P2FASettings,switch,lib/app/router/route_groups/p2p_security_routes.dart,63
p2p_security,real_page,AppRoutePaths.p2pSecurityAntiPhishing,p2pSecurityAntiPhishing,AppRouteNames.sc256P2PAntiPhishingCode,sc256P2PAntiPhishingCode,switch,lib/app/router/route_groups/p2p_security_routes.dart,113
p2p_security,real_page,AppRoutePaths.p2pSecurityCenter,p2pSecurityCenter,AppRouteNames.sc253P2PSecurityCenter,sc253P2PSecurityCenter,switch,lib/app/router/route_groups/p2p_security_routes.dart,40
p2p_security,real_page,AppRoutePaths.p2pSecurityDevices,p2pSecurityDevices,AppRouteNames.sc255P2PDeviceManagement,sc255P2PDeviceManagement,switch,lib/app/router/route_groups/p2p_security_routes.dart,88
p2p_security,real_page,AppRoutePaths.p2pSecurityLoginHistory,p2pSecurityLoginHistory,AppRouteNames.sc257P2PLoginHistory,sc257P2PLoginHistory,switch,lib/app/router/route_groups/p2p_security_routes.dart,138
p2p_security,real_page,AppRoutePaths.p2pSecuritySuspiciousActivity,p2pSecuritySuspiciousActivity,AppRouteNames.sc258P2PSuspiciousActivity,sc258P2PSuspiciousActivity,switch,lib/app/router/route_groups/p2p_security_routes.dart,164
p2p_security,real_page,AppRoutePaths.p2pSecurityWhitelist,p2pSecurityWhitelist,AppRouteNames.sc404P2PWhitelistMode,sc404P2PWhitelistMode,switch,lib/app/router/route_groups/p2p_security_routes.dart,189
p2p_security,real_page,AppRoutePaths.p2pTaxReporting,p2pTaxReporting,AppRouteNames.sc272P2PTaxReporting,sc272P2PTaxReporting,switch,lib/app/router/route_groups/p2p_security_routes.dart,558
