module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
trade,real_page,'/trade/:pairId','/trade/:pairId',AppRouteNames.sc049TradePair,sc049TradePair,TradeTabletPage,lib/app/router/route_groups/trade_routes.dart,192
trade,real_page,'/trade/:pairId/futures','/trade/:pairId/futures',AppRouteNames.sc057Futures,sc057Futures,FuturesTabletPage,lib/app/router/route_groups/trade_routes.dart,179
trade,real_page,'/trade/:pairId/futures/leverage','/trade/:pairId/futures/leverage',AppRouteNames.sc058Leverage,sc058Leverage,LeverageTabletPage,lib/app/router/route_groups/trade_routes.dart,165
trade,real_page,AppRoutePaths.trade,trade,AppRouteNames.sc048Trade,sc048Trade,TradePage,lib/app/router/route_groups/trade_routes.dart,40
trade,real_page,AppRoutePaths.tradeConvert,tradeConvert,AppRouteNames.sc056Convert,sc056Convert,switch,lib/app/router/route_groups/trade_routes.dart,57
trade,real_page,AppRoutePaths.tradeExport,tradeExport,AppRouteNames.sc054TradeHistoryExport,sc054TradeHistoryExport,switch,lib/app/router/route_groups/trade_routes.dart,155
trade,real_page,AppRoutePaths.tradeMargin,tradeMargin,AppRouteNames.sc085MarginTrading,sc085MarginTrading,switch,lib/app/router/route_groups/trade_routes.dart,72
trade,real_page,AppRoutePaths.tradeMarginBtcusdt,tradeMarginBtcusdt,AppRouteNames.sc086MarginTradingPair,sc086MarginTradingPair,switch,lib/app/router/route_groups/trade_routes.dart,82
trade,real_page,AppRoutePaths.tradeMarginHub,tradeMarginHub,AppRouteNames.sc090MarginTradingHub,sc090MarginTradingHub,switch,lib/app/router/route_groups/trade_routes.dart,97
trade,real_page,AppRoutePaths.tradeOrderReceipt,tradeOrderReceipt,AppRouteNames.sc051OrderReceipt,sc051OrderReceipt,switch,lib/app/router/route_groups/trade_routes.dart,109
trade,real_page,AppRoutePaths.tradeOrdersHistory,tradeOrdersHistory,AppRouteNames.sc050OrdersHistory,sc050OrdersHistory,switch,lib/app/router/route_groups/trade_routes.dart,125
trade,real_page,AppRoutePaths.tradePositions,tradePositions,AppRouteNames.sc053PositionDashboard,sc053PositionDashboard,switch,lib/app/router/route_groups/trade_routes.dart,135
trade,real_page,AppRoutePaths.tradeSettings,tradeSettings,AppRouteNames.sc052TradeSettings,sc052TradeSettings,switch,lib/app/router/route_groups/trade_routes.dart,145
