module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
trade_bots,real_page,AppRoutePaths.tradeBotApiDocumentation,tradeBotApiDocumentation,AppRouteNames.sc134BotApiDocumentation,sc134BotApiDocumentation,BotApiDocumentationPage,lib/app/router/route_groups/trade_bots_routes.dart,132
trade_bots,real_page,AppRoutePaths.tradeBotBacktesting,tradeBotBacktesting,AppRouteNames.sc125BotBacktesting,sc125BotBacktesting,BotBacktestingPage,lib/app/router/route_groups/trade_bots_routes.dart,84
trade_bots,real_page,AppRoutePaths.tradeBotDrawdownAnalyzer,tradeBotDrawdownAnalyzer,AppRouteNames.sc129BotDrawdownAnalyzer,sc129BotDrawdownAnalyzer,BotDrawdownAnalyzerPage,lib/app/router/route_groups/trade_bots_routes.dart,106
trade_bots,real_page,AppRoutePaths.tradeBotEmergencyStop,tradeBotEmergencyStop,AppRouteNames.sc121BotEmergencyStop,sc121BotEmergencyStop,BotEmergencyStopPage,lib/app/router/route_groups/trade_bots_routes.dart,62
trade_bots,real_page,AppRoutePaths.tradeBotEquityCurve,tradeBotEquityCurve,AppRouteNames.sc130BotEquityCurve,sc130BotEquityCurve,BotEquityCurvePage,lib/app/router/route_groups/trade_bots_routes.dart,112
trade_bots,real_page,AppRoutePaths.tradeBotFaq,tradeBotFaq,AppRouteNames.sc132BotFaq,sc132BotFaq,BotFaqPage,lib/app/router/route_groups/trade_bots_routes.dart,122
trade_bots,real_page,AppRoutePaths.tradeBotGuide,tradeBotGuide,AppRouteNames.sc131BotGuide,sc131BotGuide,BotGuidePage,lib/app/router/route_groups/trade_bots_routes.dart,117
trade_bots,real_page,AppRoutePaths.tradeBotHistory,tradeBotHistory,AppRouteNames.sc123BotHistory,sc123BotHistory,BotHistoryPage,lib/app/router/route_groups/trade_bots_routes.dart,73
trade_bots,real_page,AppRoutePaths.tradeBotOptimization,tradeBotOptimization,AppRouteNames.sc127BotOptimization,sc127BotOptimization,BotOptimizationPage,lib/app/router/route_groups/trade_bots_routes.dart,95
trade_bots,real_page,AppRoutePaths.tradeBotPerformanceAnalytics,tradeBotPerformanceAnalytics,AppRouteNames.sc124BotPerformanceAnalytics,sc124BotPerformanceAnalytics,BotPerformanceAnalyticsPage,lib/app/router/route_groups/trade_bots_routes.dart,78
trade_bots,real_page,AppRoutePaths.tradeBotPortfolioDashboard,tradeBotPortfolioDashboard,AppRouteNames.sc128BotPortfolioDashboard,sc128BotPortfolioDashboard,BotPortfolioDashboardPage,lib/app/router/route_groups/trade_bots_routes.dart,100
trade_bots,real_page,AppRoutePaths.tradeBotRiskDashboard,tradeBotRiskDashboard,AppRouteNames.sc120BotRiskDashboard,sc120BotRiskDashboard,BotRiskDashboardPage,lib/app/router/route_groups/trade_bots_routes.dart,57
trade_bots,real_page,AppRoutePaths.tradeBotRiskDisclosure,tradeBotRiskDisclosure,AppRouteNames.sc118BotRiskDisclosure,sc118BotRiskDisclosure,BotRiskDisclosurePage,lib/app/router/route_groups/trade_bots_routes.dart,45
trade_bots,real_page,AppRoutePaths.tradeBotSecuritySettings,tradeBotSecuritySettings,AppRouteNames.sc122BotSecuritySettings,sc122BotSecuritySettings,BotSecuritySettingsPage,lib/app/router/route_groups/trade_bots_routes.dart,67
trade_bots,real_page,AppRoutePaths.tradeBotStrategyCompare,tradeBotStrategyCompare,AppRouteNames.sc126BotStrategyCompare,sc126BotStrategyCompare,BotStrategyComparePage,lib/app/router/route_groups/trade_bots_routes.dart,89
trade_bots,real_page,AppRoutePaths.tradeBotSuitabilityAssessment,tradeBotSuitabilityAssessment,AppRouteNames.sc119BotSuitabilityAssessment,sc119BotSuitabilityAssessment,BotSuitabilityAssessmentPage,lib/app/router/route_groups/trade_bots_routes.dart,51
trade_bots,real_page,AppRoutePaths.tradeBotTaxReporting,tradeBotTaxReporting,AppRouteNames.sc133BotTaxReporting,sc133BotTaxReporting,BotTaxReportingPage,lib/app/router/route_groups/trade_bots_routes.dart,127
trade_bots,real_page,AppRoutePaths.tradeBotTermsOfService,tradeBotTermsOfService,AppRouteNames.sc117BotTermsOfService,sc117BotTermsOfService,BotTermsOfServicePage,lib/app/router/route_groups/trade_bots_routes.dart,39
trade_bots,real_page,AppRoutePaths.tradeBots,tradeBots,AppRouteNames.sc059TradingBots,sc059TradingBots,TradingBotsPage,lib/app/router/route_groups/trade_bots_routes.dart,34
