module,classification,route_path_symbol,route_path_token,route_name_symbol,route_name_token,builder_evidence,source_file,source_line
wallet,real_page,'${AppRoutePaths.walletDeposit}/:asset','${AppRoutePaths.walletDeposit}/:asset',AppRouteNames.sc138DepositUsdt,sc138DepositUsdt,DepositTabletPage,lib/app/router/route_groups/wallet_routes.dart,66
wallet,real_page,'${AppRoutePaths.walletWithdraw}/:asset','${AppRoutePaths.walletWithdraw}/:asset',AppRouteNames.sc140WithdrawUsdt,sc140WithdrawUsdt,WithdrawTabletPage,lib/app/router/route_groups/wallet_routes.dart,97
wallet,real_page,'/wallet/asset/:assetId','/wallet/asset/:assetId',AppRouteNames.sc147AssetDetail,sc147AssetDetail,AssetDetailPage,lib/app/router/route_groups/wallet_routes.dart,151
wallet,real_page,'/wallet/transaction/:txId','/wallet/transaction/:txId',AppRouteNames.sc141TransactionDetail,sc141TransactionDetail,TransactionDetailPage,lib/app/router/route_groups/wallet_routes.dart,117
wallet,real_page,AppRoutePaths.wallet,wallet,AppRouteNames.sc135Wallet,sc135Wallet,switch,lib/app/router/route_groups/wallet_routes.dart,38
wallet,real_page,AppRoutePaths.walletAddressBook,walletAddressBook,AppRouteNames.sc144AddressBook,sc144AddressBook,AddressBookPage,lib/app/router/route_groups/wallet_routes.dart,136
wallet,real_page,AppRoutePaths.walletAddressBookAdd,walletAddressBookAdd,AppRouteNames.sc143AddressAdd,sc143AddressAdd,AddressAddPage,lib/app/router/route_groups/wallet_routes.dart,131
wallet,real_page,AppRoutePaths.walletBuyCrypto,walletBuyCrypto,AppRouteNames.sc145BuyCrypto,sc145BuyCrypto,BuyCryptoPage,lib/app/router/route_groups/wallet_routes.dart,141
wallet,real_page,AppRoutePaths.walletDeposit,walletDeposit,AppRouteNames.sc137Deposit,sc137Deposit,switch,lib/app/router/route_groups/wallet_routes.dart,55
wallet,real_page,AppRoutePaths.walletDustConverter,walletDustConverter,AppRouteNames.sc154DustConverter,sc154DustConverter,DustConverterPage,lib/app/router/route_groups/wallet_routes.dart,194
wallet,real_page,AppRoutePaths.walletGasOptimizer,walletGasOptimizer,AppRouteNames.sc149GasOptimizer,sc149GasOptimizer,WalletGasOptimizerPage,lib/app/router/route_groups/wallet_routes.dart,166
wallet,real_page,AppRoutePaths.walletHealthScore,walletHealthScore,AppRouteNames.sc151HealthScore,sc151HealthScore,WalletHealthScorePage,lib/app/router/route_groups/wallet_routes.dart,178
wallet,real_page,AppRoutePaths.walletHistory,walletHistory,AppRouteNames.sc136TxHistory,sc136TxHistory,TransactionHistoryPage,lib/app/router/route_groups/wallet_routes.dart,49
wallet,real_page,AppRoutePaths.walletLimits,walletLimits,AppRouteNames.sc153WithdrawLimits,sc153WithdrawLimits,WithdrawLimitsPage,lib/app/router/route_groups/wallet_routes.dart,189
wallet,real_page,AppRoutePaths.walletMultiManager,walletMultiManager,AppRouteNames.sc148MultiManager,sc148MultiManager,WalletMultiManagerPage,lib/app/router/route_groups/wallet_routes.dart,160
wallet,real_page,AppRoutePaths.walletNetworkStatus,walletNetworkStatus,AppRouteNames.sc155NetworkStatus,sc155NetworkStatus,NetworkStatusPage,lib/app/router/route_groups/wallet_routes.dart,199
wallet,real_page,AppRoutePaths.walletPendingDeposits,walletPendingDeposits,AppRouteNames.sc152PendingDeposits,sc152PendingDeposits,PendingDepositsPage,lib/app/router/route_groups/wallet_routes.dart,184
wallet,real_page,AppRoutePaths.walletPortfolioAnalytics,walletPortfolioAnalytics,AppRouteNames.sc142PortfolioAnalytics,sc142PortfolioAnalytics,PortfolioAnalyticsPage,lib/app/router/route_groups/wallet_routes.dart,125
wallet,real_page,AppRoutePaths.walletTokenApproval,walletTokenApproval,AppRouteNames.sc150TokenApproval,sc150TokenApproval,WalletTokenApprovalPage,lib/app/router/route_groups/wallet_routes.dart,172
wallet,real_page,AppRoutePaths.walletTransfer,walletTransfer,AppRouteNames.sc146Transfer,sc146Transfer,TransferPage,lib/app/router/route_groups/wallet_routes.dart,146
wallet,real_page,AppRoutePaths.walletWithdraw,walletWithdraw,AppRouteNames.sc139Withdraw,sc139Withdraw,switch,lib/app/router/route_groups/wallet_routes.dart,86
